POD,CPU,MEMORY,TIME
front-end-55b89655c7-mnrjk,84m,79Mi,1701824092.5003893
front-end-55b89655c7-mnrjk,62m,77Mi,1701824114.5404596
front-end-55b89655c7-mnrjk,80m,95Mi,1701824136.5869668
front-end-55b89655c7-mnrjk,59m,97Mi,1701824158.486194
front-end-55b89655c7-mnrjk,68m,101Mi,1701824180.4980938
front-end-55b89655c7-mnrjk,62m,101Mi,1701824202.5566328
front-end-55b89655c7-mnrjk,69m,99Mi,1701824224.5881255
front-end-55b89655c7-mnrjk,74m,99Mi,1701824246.5524654
front-end-55b89655c7-mnrjk,63m,101Mi,1701824268.5981994
front-end-55b89655c7-mnrjk,63m,101Mi,1701824290.5188358
front-end-55b89655c7-mnrjk,72m,100Mi,1701824312.6301792
front-end-55b89655c7-mnrjk,72m,102Mi,1701824334.5820606
front-end-55b89655c7-mnrjk,59m,101Mi,1701824356.5767536
front-end-55b89655c7-mnrjk,54m,101Mi,1701824378.4315925
front-end-55b89655c7-mnrjk,91m,101Mi,1701824400.5587559
