POD,CPU,MEMORY,TIME
front-end-55b89655c7-mxv8q,1m,71Mi,1701827271.2095141
front-end-55b89655c7-mxv8q,3m,71Mi,1701827293.2736835
front-end-55b89655c7-mxv8q,71m,100Mi,1701827315.260235
front-end-55b89655c7-mxv8q,86m,104Mi,1701827337.3506238
front-end-55b89655c7-mxv8q,79m,109Mi,1701827359.29864
front-end-55b89655c7-mxv8q,87m,113Mi,1701827381.4689667
front-end-55b89655c7-mxv8q,69m,122Mi,1701827403.511728
front-end-55b89655c7-mxv8q,72m,124Mi,1701827425.6783903
front-end-55b89655c7-mxv8q,69m,125Mi,1701827447.8459544
front-end-55b89655c7-mxv8q,62m,115Mi,1701827470.2309873
front-end-55b89655c7-mxv8q,62m,105Mi,1701827492.4940586
front-end-55b89655c7-mxv8q,60m,108Mi,1701827514.856403
front-end-55b89655c7-mxv8q,93m,109Mi,1701827536.8559985
front-end-55b89655c7-mxv8q,65m,108Mi,1701827558.8981593
front-end-55b89655c7-mxv8q,71m,107Mi,1701827580.8692596
front-end-55b89655c7-mxv8q,79m,109Mi,1701827603.0395348
front-end-55b89655c7-mxv8q,65m,107Mi,1701827625.0080712
front-end-55b89655c7-mxv8q,69m,106Mi,1701827647.0779326
front-end-55b89655c7-mxv8q,82m,108Mi,1701827669.0007641
front-end-55b89655c7-mxv8q,62m,104Mi,1701827691.0877855
front-end-55b89655c7-mxv8q,78m,109Mi,1701827723.8516142
front-end-55b89655c7-mxv8q,75m,108Mi,1701827745.5267062
front-end-55b89655c7-mxv8q,87m,107Mi,1701827767.4246805
front-end-55b89655c7-mxv8q,87m,107Mi,1701827789.396567
front-end-55b89655c7-mxv8q,58m,107Mi,1701827811.3215423
front-end-55b89655c7-mxv8q,58m,107Mi,1701827833.4051461
front-end-55b89655c7-mxv8q,60m,107Mi,1701827855.3170502
front-end-55b89655c7-mxv8q,89m,106Mi,1701827877.367556
front-end-55b89655c7-mxv8q,62m,108Mi,1701827899.2727258
front-end-55b89655c7-mxv8q,73m,107Mi,1701827921.2471988
front-end-55b89655c7-mxv8q,58m,107Mi,1701827943.2474957
front-end-55b89655c7-mxv8q,60m,109Mi,1701827965.282908
front-end-55b89655c7-mxv8q,11m,107Mi,1701827987.3049557
