POD,CPU,MEMORY,TIME
front-end-55b89655c7-pvbd9,1m,71Mi,1701824553.0211585
front-end-55b89655c7-pvbd9,57m,71Mi,1701824575.0470934
front-end-55b89655c7-pvbd9,71m,101Mi,1701824596.942875
front-end-55b89655c7-pvbd9,71m,101Mi,1701824618.939882
front-end-55b89655c7-pvbd9,69m,101Mi,1701824640.9367964
front-end-55b89655c7-pvbd9,54m,102Mi,1701824662.960881
front-end-55b89655c7-pvbd9,54m,102Mi,1701824684.895675
front-end-55b89655c7-pvbd9,68m,101Mi,1701824706.923491
front-end-55b89655c7-pvbd9,73m,97Mi,1701824728.8339293
front-end-55b89655c7-pvbd9,79m,100Mi,1701824750.971692
front-end-55b89655c7-pvbd9,70m,102Mi,1701824772.8768587
front-end-55b89655c7-pvbd9,68m,101Mi,1701824794.8922043
front-end-55b89655c7-pvbd9,72m,103Mi,1701824817.048041
front-end-55b89655c7-pvbd9,68m,102Mi,1701824839.0380049
front-end-55b89655c7-pvbd9,73m,102Mi,1701824860.9293022
front-end-55b89655c7-pvbd9,66m,104Mi,1701824882.8437378
front-end-55b89655c7-pvbd9,72m,98Mi,1701824904.6716824
front-end-55b89655c7-pvbd9,62m,101Mi,1701824926.6437793
front-end-55b89655c7-pvbd9,68m,100Mi,1701824948.5439572
front-end-55b89655c7-pvbd9,62m,99Mi,1701824970.8476834
front-end-55b89655c7-pvbd9,47m,98Mi,1701824992.7223222
front-end-55b89655c7-pvbd9,59m,100Mi,1701825014.6938522
front-end-55b89655c7-pvbd9,69m,101Mi,1701825036.6239047
