POD,CPU,MEMORY,TIME
front-end-55b89655c7-qw4w2,68m,75Mi,1701804872.1761637
front-end-55b89655c7-qw4w2,65m,70Mi,1701804893.7677634
front-end-55b89655c7-qw4w2,65m,70Mi,1701804915.447502
front-end-55b89655c7-qw4w2,53m,86Mi,1701804937.0813935
front-end-55b89655c7-qw4w2,58m,91Mi,1701804958.7942142
front-end-55b89655c7-qw4w2,58m,94Mi,1701804980.4690366
front-end-55b89655c7-qw4w2,50m,93Mi,1701805002.1719027
front-end-55b89655c7-qw4w2,59m,90Mi,1701805023.759523
front-end-55b89655c7-qw4w2,64m,93Mi,1701805045.4662666
front-end-55b89655c7-qw4w2,47m,94Mi,1701805067.0457463
front-end-55b89655c7-qw4w2,53m,93Mi,1701805088.8768256
front-end-55b89655c7-qw4w2,15m,94Mi,1701805110.2826254
