POD,CPU,MEMORY,TIME
front-end-55b89655c7-r4bf4,77m,79Mi,1701823172.2430565
front-end-55b89655c7-r4bf4,67m,80Mi,1701823194.1221747
front-end-55b89655c7-r4bf4,57m,103Mi,1701823216.2659156
front-end-55b89655c7-r4bf4,78m,107Mi,1701823238.192946
front-end-55b89655c7-r4bf4,68m,108Mi,1701823260.2163284
front-end-55b89655c7-r4bf4,77m,116Mi,1701823282.1773067
front-end-55b89655c7-r4bf4,85m,105Mi,1701823304.3159826
front-end-55b89655c7-r4bf4,75m,107Mi,1701823326.592145
front-end-55b89655c7-r4bf4,71m,106Mi,1701823348.8764634
front-end-55b89655c7-r4bf4,61m,109Mi,1701823370.9681225
front-end-55b89655c7-r4bf4,82m,109Mi,1701823393.1451964
front-end-55b89655c7-r4bf4,59m,104Mi,1701823415.22336
front-end-55b89655c7-r4bf4,48m,105Mi,1701823437.622251
front-end-55b89655c7-r4bf4,57m,104Mi,1701823459.509357
front-end-55b89655c7-r4bf4,76m,100Mi,1701823481.5188816
front-end-55b89655c7-r4bf4,49m,101Mi,1701823503.389388
front-end-55b89655c7-r4bf4,48m,103Mi,1701823525.3517373
front-end-55b89655c7-r4bf4,56m,103Mi,1701823547.3286974
front-end-55b89655c7-r4bf4,59m,104Mi,1701823569.3884256
