POD,CPU,MEMORY,TIME
front-end-55b89655c7-tljl4,2m,66Mi,1701825556.081709
front-end-55b89655c7-tljl4,50m,64Mi,1701825577.9448848
front-end-55b89655c7-tljl4,82m,76Mi,1701825599.7445807
front-end-55b89655c7-tljl4,87m,96Mi,1701825621.6935966
front-end-55b89655c7-tljl4,83m,107Mi,1701825643.3965056
front-end-55b89655c7-tljl4,87m,115Mi,1701825665.1432598
front-end-55b89655c7-tljl4,72m,117Mi,1701825686.8448703
front-end-55b89655c7-tljl4,91m,119Mi,1701825708.6529849
front-end-55b89655c7-tljl4,78m,121Mi,1701825730.4729033
front-end-55b89655c7-tljl4,93m,109Mi,1701825752.339825
front-end-55b89655c7-tljl4,68m,103Mi,1701825774.098351
front-end-55b89655c7-tljl4,73m,99Mi,1701825796.0739968
front-end-55b89655c7-tljl4,73m,99Mi,1701825818.050497
front-end-55b89655c7-tljl4,64m,99Mi,1701825840.2643516
front-end-55b89655c7-tljl4,72m,99Mi,1701825862.2783227
front-end-55b89655c7-tljl4,53m,96Mi,1701825884.3315253
front-end-55b89655c7-tljl4,52m,101Mi,1701825906.223569
front-end-55b89655c7-tljl4,62m,97Mi,1701825928.2723038
front-end-55b89655c7-tljl4,81m,94Mi,1701825950.0896075
front-end-55b89655c7-tljl4,87m,95Mi,1701825971.8885334
front-end-55b89655c7-tljl4,77m,99Mi,1701825993.536728
front-end-55b89655c7-tljl4,84m,98Mi,1701826015.2560349
front-end-55b89655c7-tljl4,72m,98Mi,1701826036.847213
front-end-55b89655c7-tljl4,79m,98Mi,1701826058.6885304
front-end-55b89655c7-tljl4,87m,96Mi,1701826080.519143
front-end-55b89655c7-tljl4,71m,98Mi,1701826102.5329945
front-end-55b89655c7-tljl4,61m,99Mi,1701826124.434838
front-end-55b89655c7-tljl4,90m,100Mi,1701826146.4840999
front-end-55b89655c7-tljl4,71m,99Mi,1701826168.5128264
front-end-55b89655c7-tljl4,92m,99Mi,1701826190.5259001
front-end-55b89655c7-tljl4,73m,99Mi,1701826212.4693868
front-end-55b89655c7-tljl4,81m,99Mi,1701826234.5563095
front-end-55b89655c7-tljl4,87m,100Mi,1701826256.516386
front-end-55b89655c7-tljl4,74m,102Mi,1701826278.760484
front-end-55b89655c7-tljl4,79m,101Mi,1701826300.7757783
front-end-55b89655c7-tljl4,85m,100Mi,1701826322.828794
front-end-55b89655c7-tljl4,92m,102Mi,1701826344.798878
front-end-55b89655c7-tljl4,74m,100Mi,1701826366.8571966
front-end-55b89655c7-tljl4,90m,101Mi,1701826388.9634728
front-end-55b89655c7-tljl4,87m,101Mi,1701826411.0995877
front-end-55b89655c7-tljl4,87m,101Mi,1701826433.0847278
front-end-55b89655c7-tljl4,77m,100Mi,1701826455.155013
front-end-55b89655c7-tljl4,74m,100Mi,1701826477.0740216
front-end-55b89655c7-tljl4,76m,102Mi,1701826499.1988144
front-end-55b89655c7-tljl4,66m,99Mi,1701826521.0630937
front-end-55b89655c7-tljl4,73m,101Mi,1701826543.1083415
front-end-55b89655c7-tljl4,57m,100Mi,1701826565.0197039
front-end-55b89655c7-tljl4,66m,101Mi,1701826587.0282216
front-end-55b89655c7-tljl4,78m,101Mi,1701826609.0756695
front-end-55b89655c7-tljl4,74m,101Mi,1701826631.1475208
front-end-55b89655c7-tljl4,77m,101Mi,1701826653.137367
front-end-55b89655c7-tljl4,77m,98Mi,1701826675.3024855
front-end-55b89655c7-tljl4,68m,101Mi,1701826697.3245947
front-end-55b89655c7-tljl4,65m,99Mi,1701826719.5897748
front-end-55b89655c7-tljl4,66m,100Mi,1701826741.5600245
front-end-55b89655c7-tljl4,86m,98Mi,1701826763.5885878
front-end-55b89655c7-tljl4,60m,99Mi,1701826785.7328577
front-end-55b89655c7-tljl4,72m,99Mi,1701826807.8525012
front-end-55b89655c7-tljl4,64m,100Mi,1701826829.9115343
front-end-55b89655c7-tljl4,78m,102Mi,1701826852.0569193
front-end-55b89655c7-tljl4,82m,98Mi,1701826874.0896416
front-end-55b89655c7-tljl4,74m,99Mi,1701826896.2001634
front-end-55b89655c7-tljl4,74m,99Mi,1701826918.1499712
front-end-55b89655c7-tljl4,76m,100Mi,1701826940.2297945
front-end-55b89655c7-tljl4,78m,100Mi,1701826962.1486201
front-end-55b89655c7-tljl4,81m,100Mi,1701826984.1589503
front-end-55b89655c7-tljl4,75m,101Mi,1701827006.0975451
front-end-55b89655c7-tljl4,82m,98Mi,1701827028.148653
front-end-55b89655c7-tljl4,59m,98Mi,1701827050.280186
front-end-55b89655c7-tljl4,57m,101Mi,1701827072.2822824
front-end-55b89655c7-tljl4,73m,100Mi,1701827095.7672868
front-end-55b89655c7-tljl4,69m,97Mi,1701827118.3460853
front-end-55b89655c7-tljl4,79m,97Mi,1701827140.1004882
front-end-55b89655c7-tljl4,91m,99Mi,1701827162.040381
front-end-55b89655c7-tljl4,79m,98Mi,1701827183.8705227
front-end-55b89655c7-tljl4,79m,98Mi,1701827205.6637332
front-end-55b89655c7-tljl4,83m,96Mi,1701827227.368078
front-end-55b89655c7-tljl4,87m,97Mi,1701827249.2331617
front-end-55b89655c7-tljl4,80m,98Mi,1701827271.2095141
front-end-55b89655c7-tljl4,80m,98Mi,1701827293.2736835
front-end-55b89655c7-tljl4,92m,101Mi,1701827315.260235
front-end-55b89655c7-tljl4,90m,96Mi,1701827337.3506238
front-end-55b89655c7-tljl4,80m,100Mi,1701827359.29864
front-end-55b89655c7-tljl4,79m,100Mi,1701827381.4689667
front-end-55b89655c7-tljl4,73m,101Mi,1701827403.511728
front-end-55b89655c7-tljl4,77m,103Mi,1701827425.6783903
front-end-55b89655c7-tljl4,56m,103Mi,1701827447.8459544
front-end-55b89655c7-tljl4,56m,103Mi,1701827470.2309873
front-end-55b89655c7-tljl4,58m,101Mi,1701827492.4940586
front-end-55b89655c7-tljl4,57m,103Mi,1701827514.856403
front-end-55b89655c7-tljl4,77m,101Mi,1701827536.8559985
front-end-55b89655c7-tljl4,77m,101Mi,1701827558.8981593
front-end-55b89655c7-tljl4,78m,103Mi,1701827580.8692596
front-end-55b89655c7-tljl4,73m,103Mi,1701827603.0395348
front-end-55b89655c7-tljl4,77m,101Mi,1701827625.0080712
front-end-55b89655c7-tljl4,84m,101Mi,1701827647.0779326
front-end-55b89655c7-tljl4,73m,97Mi,1701827669.0007641
front-end-55b89655c7-tljl4,73m,99Mi,1701827691.0877855
front-end-55b89655c7-tljl4,82m,101Mi,1701827767.4246805
