POD,CPU,MEMORY,TIME
front-end-55b89655c7-tqwtx,44m,65Mi,1701806011.6780014
front-end-55b89655c7-tqwtx,44m,65Mi,1701806033.4362721
front-end-55b89655c7-tqwtx,3m,67Mi,1701806055.168134
front-end-55b89655c7-tqwtx,79m,96Mi,1701806076.9537332
front-end-55b89655c7-tqwtx,88m,103Mi,1701806098.5756314
front-end-55b89655c7-tqwtx,84m,112Mi,1701806120.2621548
front-end-55b89655c7-tqwtx,77m,115Mi,1701806141.904277
front-end-55b89655c7-tqwtx,88m,121Mi,1701806163.8367975
front-end-55b89655c7-tqwtx,67m,122Mi,1701806185.7066407
front-end-55b89655c7-tqwtx,79m,103Mi,1701806207.6972797
front-end-55b89655c7-tqwtx,72m,106Mi,1701806229.5544944
front-end-55b89655c7-tqwtx,70m,104Mi,1701806251.555745
front-end-55b89655c7-tqwtx,68m,103Mi,1701806273.4740806
front-end-55b89655c7-tqwtx,72m,104Mi,1701806295.4319808
front-end-55b89655c7-tqwtx,42m,103Mi,1701806317.2984946
front-end-55b89655c7-tqwtx,48m,104Mi,1701806339.24864
front-end-55b89655c7-tqwtx,55m,103Mi,1701806361.0885785
front-end-55b89655c7-tqwtx,49m,104Mi,1701806383.1533232
front-end-55b89655c7-tqwtx,67m,100Mi,1701806404.845664
front-end-55b89655c7-tqwtx,67m,100Mi,1701806426.6273715
front-end-55b89655c7-tqwtx,78m,100Mi,1701806448.2459564
front-end-55b89655c7-tqwtx,72m,101Mi,1701806469.979283
front-end-55b89655c7-tqwtx,71m,103Mi,1701806491.6490178
front-end-55b89655c7-tqwtx,68m,101Mi,1701806513.3946626
front-end-55b89655c7-tqwtx,91m,100Mi,1701806535.002705
front-end-55b89655c7-tqwtx,78m,97Mi,1701806556.7380707
front-end-55b89655c7-tqwtx,96m,98Mi,1701806578.3783293
front-end-55b89655c7-tqwtx,87m,99Mi,1701806600.320565
front-end-55b89655c7-tqwtx,85m,100Mi,1701806622.2078633
front-end-55b89655c7-tqwtx,74m,99Mi,1701806644.1785092
front-end-55b89655c7-tqwtx,58m,98Mi,1701806666.014022
front-end-55b89655c7-tqwtx,57m,99Mi,1701806687.9447596
front-end-55b89655c7-tqwtx,70m,99Mi,1701806709.8554206
front-end-55b89655c7-tqwtx,60m,99Mi,1701806731.8455915
front-end-55b89655c7-tqwtx,57m,100Mi,1701806753.7612214
front-end-55b89655c7-tqwtx,78m,101Mi,1701806775.7813082
front-end-55b89655c7-tqwtx,92m,101Mi,1701806797.687111
front-end-55b89655c7-tqwtx,92m,101Mi,1701806819.7897248
front-end-55b89655c7-tqwtx,68m,100Mi,1701806841.7524385
front-end-55b89655c7-tqwtx,74m,99Mi,1701806863.725436
front-end-55b89655c7-tqwtx,64m,98Mi,1701806885.582918
front-end-55b89655c7-tqwtx,58m,97Mi,1701806907.528311
front-end-55b89655c7-tqwtx,63m,98Mi,1701806929.4883134
front-end-55b89655c7-tqwtx,46m,101Mi,1701806951.3950293
front-end-55b89655c7-tqwtx,56m,95Mi,1701806973.329754
front-end-55b89655c7-tqwtx,74m,97Mi,1701806995.1303267
front-end-55b89655c7-tqwtx,61m,97Mi,1701807016.7650604
front-end-55b89655c7-tqwtx,61m,97Mi,1701807038.6044931
front-end-55b89655c7-tqwtx,56m,100Mi,1701807060.2037342
front-end-55b89655c7-tqwtx,49m,100Mi,1701807081.8989549
front-end-55b89655c7-tqwtx,55m,99Mi,1701807103.4684875
front-end-55b89655c7-tqwtx,14m,101Mi,1701807125.200737
