POD,CPU,MEMORY,TIME
front-end-55b89655c7-ws8mv,77m,95Mi,1701830851.549233
front-end-55b89655c7-ws8mv,94m,101Mi,1701830873.4323578
front-end-55b89655c7-ws8mv,83m,106Mi,1701830895.0912843
front-end-55b89655c7-ws8mv,86m,117Mi,1701830916.851081
front-end-55b89655c7-ws8mv,86m,119Mi,1701830938.5905645
front-end-55b89655c7-ws8mv,82m,123Mi,1701830960.5154514
front-end-55b89655c7-ws8mv,81m,121Mi,1701830982.5209134
front-end-55b89655c7-ws8mv,55m,96Mi,1701831004.4615905
front-end-55b89655c7-ws8mv,77m,97Mi,1701831026.4093122
front-end-55b89655c7-ws8mv,79m,100Mi,1701831048.4322793
front-end-55b89655c7-ws8mv,76m,97Mi,1701831070.3041914
front-end-55b89655c7-ws8mv,55m,97Mi,1701831092.31073
front-end-55b89655c7-ws8mv,62m,98Mi,1701831114.1359756
front-end-55b89655c7-ws8mv,60m,98Mi,1701831136.14356
front-end-55b89655c7-ws8mv,72m,101Mi,1701831157.7888002
front-end-55b89655c7-ws8mv,72m,100Mi,1701831179.4832916
front-end-55b89655c7-ws8mv,73m,98Mi,1701831201.2207885
front-end-55b89655c7-ws8mv,74m,97Mi,1701831222.9563284
front-end-55b89655c7-ws8mv,81m,100Mi,1701831244.566487
front-end-55b89655c7-ws8mv,71m,100Mi,1701831266.2837455
front-end-55b89655c7-ws8mv,65m,101Mi,1701831287.9091053
front-end-55b89655c7-ws8mv,73m,100Mi,1701831309.7112126
front-end-55b89655c7-ws8mv,77m,97Mi,1701831331.3634374
front-end-55b89655c7-ws8mv,98m,95Mi,1701831353.1050727
front-end-55b89655c7-ws8mv,89m,96Mi,1701831374.871478
front-end-55b89655c7-ws8mv,88m,99Mi,1701831396.8889797
front-end-55b89655c7-ws8mv,81m,98Mi,1701831418.9133928
front-end-55b89655c7-ws8mv,85m,99Mi,1701831440.9054632
front-end-55b89655c7-ws8mv,72m,98Mi,1701831462.8109744
front-end-55b89655c7-ws8mv,62m,99Mi,1701831484.8160906
front-end-55b89655c7-ws8mv,73m,98Mi,1701831506.741747
front-end-55b89655c7-ws8mv,78m,99Mi,1701831528.8566806
front-end-55b89655c7-ws8mv,79m,98Mi,1701831550.8185265
front-end-55b89655c7-ws8mv,75m,98Mi,1701831572.8093278
front-end-55b89655c7-ws8mv,81m,99Mi,1701831594.6901295
front-end-55b89655c7-ws8mv,76m,98Mi,1701831616.595501
front-end-55b89655c7-ws8mv,66m,101Mi,1701831638.495705
front-end-55b89655c7-ws8mv,72m,99Mi,1701831660.4030972
front-end-55b89655c7-ws8mv,59m,99Mi,1701831682.2542043
front-end-55b89655c7-ws8mv,64m,99Mi,1701831704.1746745
front-end-55b89655c7-ws8mv,66m,99Mi,1701831726.0428302
front-end-55b89655c7-ws8mv,53m,99Mi,1701831748.174025
front-end-55b89655c7-ws8mv,71m,102Mi,1701831769.8367062
front-end-55b89655c7-ws8mv,64m,102Mi,1701831791.5556211
front-end-55b89655c7-ws8mv,68m,102Mi,1701831813.2512238
front-end-55b89655c7-ws8mv,66m,103Mi,1701831834.9614587
front-end-55b89655c7-ws8mv,50m,98Mi,1701831856.6253104
front-end-55b89655c7-ws8mv,58m,95Mi,1701831878.3258896
front-end-55b89655c7-ws8mv,58m,95Mi,1701831899.9721978
