POD,CPU,MEMORY,TIME
front-end-55b89655c7-ztmwl,68m,71Mi,1701806644.1785092
front-end-55b89655c7-ztmwl,62m,79Mi,1701806666.014022
front-end-55b89655c7-ztmwl,71m,103Mi,1701806687.9447596
front-end-55b89655c7-ztmwl,56m,104Mi,1701806709.8554206
front-end-55b89655c7-ztmwl,76m,111Mi,1701806731.8455915
front-end-55b89655c7-ztmwl,72m,116Mi,1701806753.7612214
front-end-55b89655c7-ztmwl,72m,117Mi,1701806775.7813082
front-end-55b89655c7-ztmwl,69m,101Mi,1701806797.687111
front-end-55b89655c7-ztmwl,78m,103Mi,1701806819.7897248
front-end-55b89655c7-ztmwl,82m,105Mi,1701806841.7524385
front-end-55b89655c7-ztmwl,75m,105Mi,1701806863.725436
front-end-55b89655c7-ztmwl,56m,103Mi,1701806885.582918
front-end-55b89655c7-ztmwl,56m,102Mi,1701806907.528311
front-end-55b89655c7-ztmwl,54m,103Mi,1701806929.4883134
front-end-55b89655c7-ztmwl,46m,103Mi,1701806951.3950293
front-end-55b89655c7-ztmwl,49m,103Mi,1701806973.329754
