POD,CPU,MEMORY,TIME
front-end-55b89655c7-56gbg,1m,70Mi,1701922451.724441
front-end-55b89655c7-56gbg,27m,67Mi,1701922474.2222047
front-end-55b89655c7-56gbg,81m,102Mi,1701922496.3760352
front-end-55b89655c7-56gbg,66m,107Mi,1701922518.3619387
front-end-55b89655c7-56gbg,59m,110Mi,1701922540.8708334
front-end-55b89655c7-56gbg,73m,115Mi,1701922563.0144649
front-end-55b89655c7-56gbg,75m,119Mi,1701922585.1141493
front-end-55b89655c7-56gbg,64m,119Mi,1701922608.004988
front-end-55b89655c7-56gbg,55m,111Mi,1701922631.0145624
front-end-55b89655c7-56gbg,51m,112Mi,1701922653.8976367
front-end-55b89655c7-56gbg,52m,114Mi,1701922676.830606
front-end-55b89655c7-56gbg,40m,107Mi,1701922699.6861477
front-end-55b89655c7-56gbg,53m,98Mi,1701922722.1749358
front-end-55b89655c7-56gbg,56m,97Mi,1701922744.201615
front-end-55b89655c7-56gbg,60m,103Mi,1701922766.0815706
front-end-55b89655c7-56gbg,60m,103Mi,1701922788.5740957
front-end-55b89655c7-56gbg,50m,102Mi,1701922810.9990823
front-end-55b89655c7-56gbg,50m,104Mi,1701922833.6379569
front-end-55b89655c7-56gbg,51m,104Mi,1701922856.3367612
front-end-55b89655c7-56gbg,51m,104Mi,1701922878.8142323
front-end-55b89655c7-56gbg,57m,104Mi,1701922901.3298576
front-end-55b89655c7-56gbg,67m,102Mi,1701922923.7568119
front-end-55b89655c7-56gbg,57m,104Mi,1701922946.235675
front-end-55b89655c7-56gbg,47m,105Mi,1701922968.8303783
front-end-55b89655c7-56gbg,45m,105Mi,1701922991.2959616
