POD,CPU,MEMORY,TIME
front-end-55b89655c7-9sl6c,2m,71Mi,1701916900.5391495
front-end-55b89655c7-9sl6c,1m,71Mi,1701916923.14765
front-end-55b89655c7-9sl6c,57m,80Mi,1701916945.7529192
front-end-55b89655c7-9sl6c,72m,78Mi,1701916968.2342505
front-end-55b89655c7-9sl6c,60m,99Mi,1701916990.9313228
front-end-55b89655c7-9sl6c,61m,101Mi,1701917013.3609233
front-end-55b89655c7-9sl6c,62m,103Mi,1701917035.2622917
front-end-55b89655c7-9sl6c,80m,99Mi,1701917057.1733377
front-end-55b89655c7-9sl6c,81m,101Mi,1701917079.624807
front-end-55b89655c7-9sl6c,70m,101Mi,1701917102.1779191
front-end-55b89655c7-9sl6c,71m,99Mi,1701917124.8370771
front-end-55b89655c7-9sl6c,69m,103Mi,1701917147.460496
front-end-55b89655c7-9sl6c,59m,102Mi,1701917170.0126393
front-end-55b89655c7-9sl6c,54m,103Mi,1701917192.4654605
front-end-55b89655c7-9sl6c,59m,103Mi,1701917214.8819897
front-end-55b89655c7-9sl6c,82m,102Mi,1701917237.36681
front-end-55b89655c7-9sl6c,52m,93Mi,1701917259.8782969
front-end-55b89655c7-9sl6c,52m,93Mi,1701917282.396343
front-end-55b89655c7-9sl6c,48m,99Mi,1701917304.8050787
front-end-55b89655c7-9sl6c,28m,98Mi,1701917327.2727795
