POD,CPU,MEMORY,TIME
front-end-55b89655c7-cqkxh,31m,65Mi,1701924357.2295637
front-end-55b89655c7-cqkxh,2m,65Mi,1701924378.9972353
front-end-55b89655c7-cqkxh,86m,71Mi,1701924400.6126812
front-end-55b89655c7-cqkxh,69m,80Mi,1701924422.1928432
front-end-55b89655c7-cqkxh,53m,91Mi,1701924443.8046098
front-end-55b89655c7-cqkxh,78m,88Mi,1701924465.432645
front-end-55b89655c7-cqkxh,86m,92Mi,1701924487.1461217
front-end-55b89655c7-cqkxh,68m,96Mi,1701924508.5765593
front-end-55b89655c7-cqkxh,68m,94Mi,1701924529.9360592
front-end-55b89655c7-cqkxh,95m,96Mi,1701924551.626824
front-end-55b89655c7-cqkxh,80m,96Mi,1701924573.2793438
front-end-55b89655c7-cqkxh,101m,95Mi,1701924595.1276526
front-end-55b89655c7-cqkxh,77m,95Mi,1701924617.169853
front-end-55b89655c7-cqkxh,91m,95Mi,1701924639.274378
front-end-55b89655c7-cqkxh,93m,95Mi,1701924661.3685448
front-end-55b89655c7-cqkxh,93m,93Mi,1701924683.4417531
front-end-55b89655c7-cqkxh,87m,94Mi,1701924705.6122084
front-end-55b89655c7-cqkxh,81m,96Mi,1701924727.6787462
front-end-55b89655c7-cqkxh,88m,95Mi,1701924749.7751522
front-end-55b89655c7-cqkxh,80m,96Mi,1701924771.8740256
front-end-55b89655c7-cqkxh,89m,96Mi,1701924793.9671793
front-end-55b89655c7-cqkxh,93m,96Mi,1701924815.9238923
front-end-55b89655c7-cqkxh,78m,97Mi,1701924837.5029647
front-end-55b89655c7-cqkxh,86m,96Mi,1701924859.647916
front-end-55b89655c7-cqkxh,62m,97Mi,1701924881.7202811
front-end-55b89655c7-cqkxh,68m,96Mi,1701924903.754876
front-end-55b89655c7-cqkxh,75m,96Mi,1701924925.8949158
front-end-55b89655c7-cqkxh,65m,96Mi,1701924947.9291432
front-end-55b89655c7-cqkxh,56m,98Mi,1701924970.059782
front-end-55b89655c7-cqkxh,70m,96Mi,1701924991.791276
front-end-55b89655c7-cqkxh,78m,97Mi,1701925013.4013603
front-end-55b89655c7-cqkxh,71m,97Mi,1701925035.5191798
front-end-55b89655c7-cqkxh,70m,96Mi,1701925057.5644553
front-end-55b89655c7-cqkxh,82m,97Mi,1701925079.621146
front-end-55b89655c7-cqkxh,84m,97Mi,1701925101.3415136
front-end-55b89655c7-cqkxh,81m,96Mi,1701925122.9751031
front-end-55b89655c7-cqkxh,89m,97Mi,1701925145.151041
front-end-55b89655c7-cqkxh,77m,95Mi,1701925167.2738745
front-end-55b89655c7-cqkxh,99m,95Mi,1701925189.448793
front-end-55b89655c7-cqkxh,82m,96Mi,1701925212.0827496
front-end-55b89655c7-cqkxh,82m,96Mi,1701925234.5709283
front-end-55b89655c7-cqkxh,63m,96Mi,1701925257.0665107
front-end-55b89655c7-cqkxh,77m,95Mi,1701925279.4475799
front-end-55b89655c7-cqkxh,74m,95Mi,1701925301.9182575
front-end-55b89655c7-cqkxh,76m,97Mi,1701925324.3982162
front-end-55b89655c7-cqkxh,61m,95Mi,1701925347.039565
front-end-55b89655c7-cqkxh,79m,97Mi,1701925369.7618449
front-end-55b89655c7-cqkxh,70m,97Mi,1701925392.280476
front-end-55b89655c7-cqkxh,79m,98Mi,1701925414.7887714
front-end-55b89655c7-cqkxh,66m,99Mi,1701925437.3006182
front-end-55b89655c7-cqkxh,66m,99Mi,1701925459.7735946
front-end-55b89655c7-cqkxh,56m,95Mi,1701925482.3586383
front-end-55b89655c7-cqkxh,56m,95Mi,1701925504.7948194
front-end-55b89655c7-cqkxh,47m,92Mi,1701925527.1866183
front-end-55b89655c7-cqkxh,53m,91Mi,1701925549.6982796
front-end-55b89655c7-cqkxh,62m,94Mi,1701925571.9782472
front-end-55b89655c7-cqkxh,66m,90Mi,1701925594.1133878
front-end-55b89655c7-cqkxh,67m,92Mi,1701925616.1244175
front-end-55b89655c7-cqkxh,52m,95Mi,1701925638.134429
front-end-55b89655c7-cqkxh,60m,95Mi,1701925660.234854
front-end-55b89655c7-cqkxh,35m,96Mi,1701925682.2219238
front-end-55b89655c7-cqkxh,34m,96Mi,1701925704.3818579
front-end-55b89655c7-cqkxh,14m,97Mi,1701925726.089213
front-end-55b89655c7-cqkxh,1m,97Mi,1701925747.7376297
front-end-55b89655c7-cqkxh,1m,97Mi,1701925769.3266754
front-end-55b89655c7-cqkxh,1m,97Mi,1701925790.9272225
front-end-55b89655c7-cqkxh,1m,97Mi,1701925812.5693965
front-end-55b89655c7-cqkxh,2m,98Mi,1701925834.190097
