POD,CPU,MEMORY,TIME
front-end-55b89655c7-k5bpc,2m,71Mi,1701925212.0827496
front-end-55b89655c7-k5bpc,2m,71Mi,1701925234.5709283
front-end-55b89655c7-k5bpc,66m,77Mi,1701925257.0665107
front-end-55b89655c7-k5bpc,79m,92Mi,1701925279.4475799
front-end-55b89655c7-k5bpc,74m,95Mi,1701925301.9182575
front-end-55b89655c7-k5bpc,67m,97Mi,1701925324.3982162
front-end-55b89655c7-k5bpc,93m,102Mi,1701925347.039565
front-end-55b89655c7-k5bpc,79m,99Mi,1701925369.7618449
front-end-55b89655c7-k5bpc,65m,103Mi,1701925392.280476
front-end-55b89655c7-k5bpc,68m,100Mi,1701925414.7887714
front-end-55b89655c7-k5bpc,60m,101Mi,1701925437.3006182
front-end-55b89655c7-k5bpc,60m,100Mi,1701925459.7735946
front-end-55b89655c7-k5bpc,56m,103Mi,1701925482.3586383
front-end-55b89655c7-k5bpc,53m,101Mi,1701925504.7948194
front-end-55b89655c7-k5bpc,53m,101Mi,1701925527.1866183
front-end-55b89655c7-k5bpc,63m,102Mi,1701925549.6982796
