POD,CPU,MEMORY,TIME
front-end-55b89655c7-pq6v4,1m,70Mi,1701917966.5716634
front-end-55b89655c7-pq6v4,55m,71Mi,1701917989.073862
front-end-55b89655c7-pq6v4,69m,80Mi,1701918011.6230671
front-end-55b89655c7-pq6v4,83m,96Mi,1701918034.1731834
front-end-55b89655c7-pq6v4,72m,101Mi,1701918056.7497633
front-end-55b89655c7-pq6v4,78m,99Mi,1701918079.2564332
front-end-55b89655c7-pq6v4,53m,103Mi,1701918101.7168734
front-end-55b89655c7-pq6v4,85m,100Mi,1701918124.1285233
front-end-55b89655c7-pq6v4,61m,98Mi,1701918146.0440521
front-end-55b89655c7-pq6v4,66m,97Mi,1701918167.9773993
front-end-55b89655c7-pq6v4,74m,101Mi,1701918190.4618816
front-end-55b89655c7-pq6v4,74m,101Mi,1701918212.9680915
front-end-55b89655c7-pq6v4,53m,100Mi,1701918235.4716873
front-end-55b89655c7-pq6v4,66m,99Mi,1701918257.9718723
front-end-55b89655c7-pq6v4,63m,97Mi,1701918280.5554032
front-end-55b89655c7-pq6v4,60m,99Mi,1701918302.541082
front-end-55b89655c7-pq6v4,64m,101Mi,1701918324.393238
front-end-55b89655c7-pq6v4,64m,101Mi,1701918346.8687932
front-end-55b89655c7-pq6v4,79m,97Mi,1701918369.3929894
front-end-55b89655c7-pq6v4,63m,97Mi,1701918391.951924
front-end-55b89655c7-pq6v4,69m,102Mi,1701918414.475464
front-end-55b89655c7-pq6v4,69m,92Mi,1701918437.0497825
front-end-55b89655c7-pq6v4,64m,99Mi,1701918459.4723113
front-end-55b89655c7-pq6v4,62m,100Mi,1701918481.9394424
front-end-55b89655c7-pq6v4,64m,100Mi,1701918504.6909585
front-end-55b89655c7-pq6v4,67m,99Mi,1701918527.397259
front-end-55b89655c7-pq6v4,69m,100Mi,1701918549.890181
front-end-55b89655c7-pq6v4,79m,103Mi,1701918571.9294446
front-end-55b89655c7-pq6v4,86m,101Mi,1701918593.8094742
front-end-55b89655c7-pq6v4,72m,101Mi,1701918616.395241
front-end-55b89655c7-pq6v4,72m,101Mi,1701918638.8940032
front-end-55b89655c7-pq6v4,89m,100Mi,1701918661.010316
front-end-55b89655c7-pq6v4,53m,101Mi,1701918682.9661417
front-end-55b89655c7-pq6v4,59m,104Mi,1701918705.572299
front-end-55b89655c7-pq6v4,60m,102Mi,1701918727.62146
front-end-55b89655c7-pq6v4,71m,101Mi,1701918749.4967089
front-end-55b89655c7-pq6v4,62m,100Mi,1701918771.968015
front-end-55b89655c7-pq6v4,51m,103Mi,1701918794.4518182
front-end-55b89655c7-pq6v4,47m,101Mi,1701918817.1061084
front-end-55b89655c7-pq6v4,51m,96Mi,1701918839.9473677
front-end-55b89655c7-pq6v4,52m,95Mi,1701918862.5995975
front-end-55b89655c7-pq6v4,50m,97Mi,1701918885.027696
front-end-55b89655c7-pq6v4,49m,95Mi,1701918907.4504628
front-end-55b89655c7-pq6v4,42m,94Mi,1701918929.9887352
