POD,CPU,MEMORY,TIME
front-end-55b89655c7-tbrlw,59m,65Mi,1701916193.994498
front-end-55b89655c7-tbrlw,1m,65Mi,1701916216.2604
front-end-55b89655c7-tbrlw,54m,64Mi,1701916238.2909534
front-end-55b89655c7-tbrlw,77m,81Mi,1701916260.3260512
front-end-55b89655c7-tbrlw,76m,89Mi,1701916282.441034
front-end-55b89655c7-tbrlw,72m,94Mi,1701916304.4874725
front-end-55b89655c7-tbrlw,85m,96Mi,1701916326.575421
front-end-55b89655c7-tbrlw,86m,98Mi,1701916348.288244
front-end-55b89655c7-tbrlw,77m,95Mi,1701916369.9461358
front-end-55b89655c7-tbrlw,78m,94Mi,1701916392.3604765
front-end-55b89655c7-tbrlw,80m,94Mi,1701916414.775476
front-end-55b89655c7-tbrlw,55m,95Mi,1701916437.1983716
front-end-55b89655c7-tbrlw,52m,93Mi,1701916459.600386
front-end-55b89655c7-tbrlw,49m,96Mi,1701916482.0290697
front-end-55b89655c7-tbrlw,60m,95Mi,1701916504.545192
front-end-55b89655c7-tbrlw,48m,91Mi,1701916527.122255
front-end-55b89655c7-tbrlw,66m,90Mi,1701916548.8563957
front-end-55b89655c7-tbrlw,71m,93Mi,1701916570.4262686
front-end-55b89655c7-tbrlw,58m,95Mi,1701916592.4308782
front-end-55b89655c7-tbrlw,81m,97Mi,1701916614.5194712
front-end-55b89655c7-tbrlw,80m,98Mi,1701916636.218448
front-end-55b89655c7-tbrlw,82m,96Mi,1701916657.826991
front-end-55b89655c7-tbrlw,65m,97Mi,1701916679.984962
front-end-55b89655c7-tbrlw,74m,98Mi,1701916702.0420423
front-end-55b89655c7-tbrlw,69m,96Mi,1701916724.1544409
front-end-55b89655c7-tbrlw,79m,93Mi,1701916746.2174067
front-end-55b89655c7-tbrlw,81m,94Mi,1701916768.324763
front-end-55b89655c7-tbrlw,81m,94Mi,1701916790.025722
front-end-55b89655c7-tbrlw,74m,93Mi,1701916811.6358356
front-end-55b89655c7-tbrlw,83m,95Mi,1701916833.81221
front-end-55b89655c7-tbrlw,84m,96Mi,1701916855.8851278
front-end-55b89655c7-tbrlw,97m,95Mi,1701916878.0544891
front-end-55b89655c7-tbrlw,76m,93Mi,1701916900.5391495
front-end-55b89655c7-tbrlw,79m,93Mi,1701916923.14765
front-end-55b89655c7-tbrlw,61m,94Mi,1701916945.7529192
front-end-55b89655c7-tbrlw,59m,94Mi,1701916968.2342505
front-end-55b89655c7-tbrlw,66m,93Mi,1701916990.9313228
front-end-55b89655c7-tbrlw,71m,93Mi,1701917013.3609233
front-end-55b89655c7-tbrlw,73m,94Mi,1701917035.2622917
front-end-55b89655c7-tbrlw,75m,95Mi,1701917057.1733377
front-end-55b89655c7-tbrlw,87m,97Mi,1701917079.624807
front-end-55b89655c7-tbrlw,70m,96Mi,1701917102.1779191
front-end-55b89655c7-tbrlw,82m,96Mi,1701917124.8370771
front-end-55b89655c7-tbrlw,77m,94Mi,1701917147.460496
front-end-55b89655c7-tbrlw,70m,96Mi,1701917170.0126393
front-end-55b89655c7-tbrlw,57m,89Mi,1701917192.4654605
front-end-55b89655c7-tbrlw,62m,90Mi,1701917214.8819897
front-end-55b89655c7-tbrlw,66m,94Mi,1701917237.36681
front-end-55b89655c7-tbrlw,56m,92Mi,1701917259.8782969
front-end-55b89655c7-tbrlw,55m,95Mi,1701917282.396343
front-end-55b89655c7-tbrlw,47m,94Mi,1701917304.8050787
front-end-55b89655c7-tbrlw,65m,93Mi,1701917327.2727795
front-end-55b89655c7-tbrlw,65m,93Mi,1701917349.3114145
front-end-55b89655c7-tbrlw,70m,94Mi,1701917370.9790974
front-end-55b89655c7-tbrlw,92m,96Mi,1701917392.6677802
front-end-55b89655c7-tbrlw,73m,95Mi,1701917414.8826103
front-end-55b89655c7-tbrlw,69m,95Mi,1701917436.8919067
front-end-55b89655c7-tbrlw,71m,94Mi,1701917458.9385393
front-end-55b89655c7-tbrlw,77m,95Mi,1701917480.9764566
front-end-55b89655c7-tbrlw,72m,95Mi,1701917503.1066208
front-end-55b89655c7-tbrlw,70m,94Mi,1701917525.147063
front-end-55b89655c7-tbrlw,76m,97Mi,1701917547.2356353
front-end-55b89655c7-tbrlw,75m,96Mi,1701917569.3198962
front-end-55b89655c7-tbrlw,76m,96Mi,1701917591.3735588
front-end-55b89655c7-tbrlw,76m,95Mi,1701917613.6589801
front-end-55b89655c7-tbrlw,71m,93Mi,1701917635.6902916
front-end-55b89655c7-tbrlw,78m,94Mi,1701917657.752206
front-end-55b89655c7-tbrlw,63m,93Mi,1701917679.7747898
front-end-55b89655c7-tbrlw,76m,92Mi,1701917701.8245265
