POD,CPU,MEMORY,TIME
front-end-55b89655c7-tx689,58m,65Mi,1701924595.1276526
front-end-55b89655c7-tx689,1m,65Mi,1701924617.169853
front-end-55b89655c7-tx689,99m,87Mi,1701924639.274378
front-end-55b89655c7-tx689,84m,99Mi,1701924661.3685448
front-end-55b89655c7-tx689,99m,107Mi,1701924683.4417531
front-end-55b89655c7-tx689,81m,111Mi,1701924705.6122084
front-end-55b89655c7-tx689,72m,124Mi,1701924727.6787462
front-end-55b89655c7-tx689,79m,124Mi,1701924749.7751522
front-end-55b89655c7-tx689,75m,126Mi,1701924771.8740256
front-end-55b89655c7-tx689,82m,99Mi,1701924793.9671793
front-end-55b89655c7-tx689,73m,100Mi,1701924815.9238923
front-end-55b89655c7-tx689,82m,101Mi,1701924837.5029647
front-end-55b89655c7-tx689,78m,99Mi,1701924859.647916
front-end-55b89655c7-tx689,79m,100Mi,1701924881.7202811
front-end-55b89655c7-tx689,67m,101Mi,1701924903.754876
front-end-55b89655c7-tx689,69m,101Mi,1701924925.8949158
front-end-55b89655c7-tx689,61m,104Mi,1701924947.9291432
front-end-55b89655c7-tx689,79m,102Mi,1701924970.059782
front-end-55b89655c7-tx689,73m,102Mi,1701924991.791276
front-end-55b89655c7-tx689,67m,103Mi,1701925013.4013603
front-end-55b89655c7-tx689,73m,101Mi,1701925035.5191798
front-end-55b89655c7-tx689,65m,103Mi,1701925057.5644553
front-end-55b89655c7-tx689,65m,103Mi,1701925079.621146
front-end-55b89655c7-tx689,92m,104Mi,1701925101.3415136
front-end-55b89655c7-tx689,85m,99Mi,1701925122.9751031
front-end-55b89655c7-tx689,83m,98Mi,1701925145.151041
front-end-55b89655c7-tx689,99m,98Mi,1701925167.2738745
front-end-55b89655c7-tx689,80m,98Mi,1701925189.448793
front-end-55b89655c7-tx689,93m,99Mi,1701925212.0827496
front-end-55b89655c7-tx689,74m,102Mi,1701925234.5709283
front-end-55b89655c7-tx689,59m,101Mi,1701925257.0665107
front-end-55b89655c7-tx689,70m,98Mi,1701925279.4475799
front-end-55b89655c7-tx689,63m,98Mi,1701925301.9182575
front-end-55b89655c7-tx689,73m,102Mi,1701925324.3982162
front-end-55b89655c7-tx689,79m,102Mi,1701925347.039565
front-end-55b89655c7-tx689,75m,101Mi,1701925369.7618449
front-end-55b89655c7-tx689,82m,102Mi,1701925392.280476
front-end-55b89655c7-tx689,72m,100Mi,1701925414.7887714
front-end-55b89655c7-tx689,64m,103Mi,1701925437.3006182
front-end-55b89655c7-tx689,63m,104Mi,1701925459.7735946
front-end-55b89655c7-tx689,59m,103Mi,1701925482.3586383
front-end-55b89655c7-tx689,58m,105Mi,1701925504.7948194
front-end-55b89655c7-tx689,49m,100Mi,1701925527.1866183
front-end-55b89655c7-tx689,57m,99Mi,1701925549.6982796
front-end-55b89655c7-tx689,66m,92Mi,1701925571.9782472
front-end-55b89655c7-tx689,62m,95Mi,1701925594.1133878
front-end-55b89655c7-tx689,59m,99Mi,1701925616.1244175
front-end-55b89655c7-tx689,53m,100Mi,1701925638.134429
front-end-55b89655c7-tx689,48m,101Mi,1701925660.234854
front-end-55b89655c7-tx689,44m,99Mi,1701925682.2219238
front-end-55b89655c7-tx689,36m,101Mi,1701925704.3818579
