POD,CPU,MEMORY,TIME
front-end-55b89655c7-v95b7,57m,80Mi,1701919237.8756325
front-end-55b89655c7-v95b7,56m,82Mi,1701919260.3594615
front-end-55b89655c7-v95b7,52m,101Mi,1701919282.8547115
front-end-55b89655c7-v95b7,52m,104Mi,1701919305.3983061
front-end-55b89655c7-v95b7,55m,112Mi,1701919327.8807526
front-end-55b89655c7-v95b7,55m,112Mi,1701919350.3918328
front-end-55b89655c7-v95b7,64m,113Mi,1701919372.944005
front-end-55b89655c7-v95b7,73m,115Mi,1701919395.0066621
front-end-55b89655c7-v95b7,65m,109Mi,1701919416.9356306
front-end-55b89655c7-v95b7,89m,111Mi,1701919439.4185133
front-end-55b89655c7-v95b7,54m,110Mi,1701919461.945841
front-end-55b89655c7-v95b7,60m,104Mi,1701919484.52364
front-end-55b89655c7-v95b7,57m,105Mi,1701919507.0946698
front-end-55b89655c7-v95b7,57m,102Mi,1701919529.600347
front-end-55b89655c7-v95b7,51m,103Mi,1701919552.0624664
front-end-55b89655c7-v95b7,66m,101Mi,1701919574.7898235
front-end-55b89655c7-v95b7,47m,103Mi,1701919597.2285666
front-end-55b89655c7-v95b7,59m,103Mi,1701919619.791141
front-end-55b89655c7-v95b7,52m,103Mi,1701919642.2556496
front-end-55b89655c7-v95b7,57m,105Mi,1701919664.7024236
front-end-55b89655c7-v95b7,63m,104Mi,1701919687.229951
