POD,CPU,MEMORY,TIME
front-end-55b89655c7-wlsgf,64m,65Mi,1701915309.7653015
front-end-55b89655c7-wlsgf,1m,65Mi,1701915331.428734
front-end-55b89655c7-wlsgf,45m,60Mi,1701915353.0758562
front-end-55b89655c7-wlsgf,42m,65Mi,1701915374.8534482
front-end-55b89655c7-wlsgf,58m,70Mi,1701915396.4583757
front-end-55b89655c7-wlsgf,70m,79Mi,1701915418.1717644
front-end-55b89655c7-wlsgf,74m,90Mi,1701915439.6371307
front-end-55b89655c7-wlsgf,57m,94Mi,1701915460.9297533
front-end-55b89655c7-wlsgf,57m,94Mi,1701915482.5225484
front-end-55b89655c7-wlsgf,74m,89Mi,1701915504.3197565
front-end-55b89655c7-wlsgf,61m,89Mi,1701915526.0352118
front-end-55b89655c7-wlsgf,60m,97Mi,1701915547.6643496
front-end-55b89655c7-wlsgf,52m,95Mi,1701915569.267972
front-end-55b89655c7-wlsgf,55m,95Mi,1701915590.8669264
front-end-55b89655c7-wlsgf,61m,96Mi,1701915612.5203516
front-end-55b89655c7-wlsgf,51m,96Mi,1701915634.2421205
front-end-55b89655c7-wlsgf,52m,94Mi,1701915655.983753
front-end-55b89655c7-wlsgf,52m,94Mi,1701915677.6794937
front-end-55b89655c7-wlsgf,56m,95Mi,1701915699.296263
front-end-55b89655c7-wlsgf,55m,95Mi,1701915720.9766185
