POD,CPU,MEMORY,TIME
front-end-55b89655c7-wz27n,2m,125Mi,1701915204.246413
front-end-55b89655c7-wz27n,48m,105Mi,1701915225.3078275
front-end-55b89655c7-wz27n,92m,118Mi,1701915246.3679526
front-end-55b89655c7-wz27n,94m,122Mi,1701915267.4818826
front-end-55b89655c7-wz27n,99m,123Mi,1701915288.5288587
front-end-55b89655c7-wz27n,62m,125Mi,1701915309.7653015
front-end-55b89655c7-wz27n,67m,121Mi,1701915331.428734
front-end-55b89655c7-wz27n,49m,122Mi,1701915353.0758562
front-end-55b89655c7-wz27n,42m,122Mi,1701915374.8534482
front-end-55b89655c7-wz27n,46m,120Mi,1701915396.4583757
front-end-55b89655c7-wz27n,52m,120Mi,1701915418.1717644
front-end-55b89655c7-wz27n,97m,124Mi,1701915439.6371307
front-end-55b89655c7-wz27n,59m,125Mi,1701915460.9297533
front-end-55b89655c7-wz27n,59m,125Mi,1701915482.5225484
front-end-55b89655c7-wz27n,79m,124Mi,1701915504.3197565
front-end-55b89655c7-wz27n,76m,124Mi,1701915526.0352118
front-end-55b89655c7-wz27n,70m,125Mi,1701915547.6643496
front-end-55b89655c7-wz27n,58m,126Mi,1701915569.267972
front-end-55b89655c7-wz27n,73m,125Mi,1701915590.8669264
front-end-55b89655c7-wz27n,51m,124Mi,1701915612.5203516
front-end-55b89655c7-wz27n,56m,125Mi,1701915634.2421205
front-end-55b89655c7-wz27n,58m,126Mi,1701915655.983753
front-end-55b89655c7-wz27n,52m,128Mi,1701915677.6794937
front-end-55b89655c7-wz27n,46m,126Mi,1701915699.296263
front-end-55b89655c7-wz27n,51m,125Mi,1701915720.9766185
front-end-55b89655c7-wz27n,90m,123Mi,1701915742.3246782
front-end-55b89655c7-wz27n,90m,123Mi,1701915763.4886763
front-end-55b89655c7-wz27n,97m,126Mi,1701915784.5745378
front-end-55b89655c7-wz27n,100m,124Mi,1701915806.0466669
front-end-55b89655c7-wz27n,89m,121Mi,1701915827.2688093
