POD,CPU,MEMORY,TIME
front-end-55b89655c7-zh6kt,1m,71Mi,1701920062.7298374
front-end-55b89655c7-zh6kt,61m,70Mi,1701920085.2657392
front-end-55b89655c7-zh6kt,80m,94Mi,1701920107.7796023
front-end-55b89655c7-zh6kt,72m,96Mi,1701920130.3012197
front-end-55b89655c7-zh6kt,59m,98Mi,1701920152.7730286
front-end-55b89655c7-zh6kt,80m,99Mi,1701920174.9062986
front-end-55b89655c7-zh6kt,63m,100Mi,1701920196.7984843
front-end-55b89655c7-zh6kt,63m,101Mi,1701920219.3006508
front-end-55b89655c7-zh6kt,68m,98Mi,1701920241.8122196
front-end-55b89655c7-zh6kt,61m,97Mi,1701920264.598764
front-end-55b89655c7-zh6kt,55m,97Mi,1701920287.1118712
front-end-55b89655c7-zh6kt,50m,99Mi,1701920309.576751
front-end-55b89655c7-zh6kt,64m,96Mi,1701920332.0749793
front-end-55b89655c7-zh6kt,59m,97Mi,1701920354.5750632
front-end-55b89655c7-zh6kt,69m,98Mi,1701920376.6176553
front-end-55b89655c7-zh6kt,73m,100Mi,1701920398.5888586
front-end-55b89655c7-zh6kt,66m,99Mi,1701920421.0827713
front-end-55b89655c7-zh6kt,79m,100Mi,1701920443.5948737
front-end-55b89655c7-zh6kt,62m,100Mi,1701920466.0788014
front-end-55b89655c7-zh6kt,55m,100Mi,1701920488.5201898
front-end-55b89655c7-zh6kt,71m,101Mi,1701920511.124376
front-end-55b89655c7-zh6kt,71m,101Mi,1701920533.1241825
front-end-55b89655c7-zh6kt,62m,103Mi,1701920555.1461284
front-end-55b89655c7-zh6kt,69m,101Mi,1701920577.5901814
front-end-55b89655c7-zh6kt,69m,101Mi,1701920599.9956717
front-end-55b89655c7-zh6kt,65m,101Mi,1701920622.1706545
front-end-55b89655c7-zh6kt,76m,95Mi,1701920644.0208037
front-end-55b89655c7-zh6kt,58m,100Mi,1701920666.543186
front-end-55b89655c7-zh6kt,63m,101Mi,1701920689.0330715
front-end-55b89655c7-zh6kt,72m,101Mi,1701920711.5843174
front-end-55b89655c7-zh6kt,63m,102Mi,1701920734.1543753
front-end-55b89655c7-zh6kt,71m,102Mi,1701920756.6898108
front-end-55b89655c7-zh6kt,71m,102Mi,1701920778.6661994
front-end-55b89655c7-zh6kt,73m,102Mi,1701920800.5410104
front-end-55b89655c7-zh6kt,66m,104Mi,1701920823.041327
front-end-55b89655c7-zh6kt,52m,102Mi,1701920845.5518854
front-end-55b89655c7-zh6kt,54m,104Mi,1701920868.0193233
front-end-55b89655c7-zh6kt,62m,103Mi,1701920890.517595
front-end-55b89655c7-zh6kt,55m,102Mi,1701920912.9981916
front-end-55b89655c7-zh6kt,56m,95Mi,1701920935.7416492
front-end-55b89655c7-zh6kt,64m,100Mi,1701920958.3423672
front-end-55b89655c7-zh6kt,74m,100Mi,1701920980.334436
front-end-55b89655c7-zh6kt,67m,102Mi,1701921002.252554
front-end-55b89655c7-zh6kt,87m,104Mi,1701921024.825294
front-end-55b89655c7-zh6kt,77m,102Mi,1701921047.4944122
front-end-55b89655c7-zh6kt,89m,101Mi,1701921070.1736765
front-end-55b89655c7-zh6kt,86m,100Mi,1701921092.7242486
front-end-55b89655c7-zh6kt,69m,103Mi,1701921115.293132
front-end-55b89655c7-zh6kt,69m,103Mi,1701921137.8385985
front-end-55b89655c7-zh6kt,80m,103Mi,1701921160.4046948
front-end-55b89655c7-zh6kt,69m,102Mi,1701921183.0239913
front-end-55b89655c7-zh6kt,82m,102Mi,1701921205.4907568
front-end-55b89655c7-zh6kt,70m,105Mi,1701921228.1480532
front-end-55b89655c7-zh6kt,68m,103Mi,1701921250.5612535
front-end-55b89655c7-zh6kt,73m,103Mi,1701921272.9474072
front-end-55b89655c7-zh6kt,76m,103Mi,1701921295.5027404
front-end-55b89655c7-zh6kt,64m,103Mi,1701921317.4559555
front-end-55b89655c7-zh6kt,84m,104Mi,1701921339.4293637
front-end-55b89655c7-zh6kt,64m,104Mi,1701921361.9456477
front-end-55b89655c7-zh6kt,64m,104Mi,1701921384.416461
front-end-55b89655c7-zh6kt,72m,104Mi,1701921407.052806
front-end-55b89655c7-zh6kt,82m,105Mi,1701921429.7040153
front-end-55b89655c7-zh6kt,63m,104Mi,1701921452.127632
front-end-55b89655c7-zh6kt,70m,106Mi,1701921474.217707
front-end-55b89655c7-zh6kt,68m,104Mi,1701921496.2738445
front-end-55b89655c7-zh6kt,72m,106Mi,1701921518.8653455
front-end-55b89655c7-zh6kt,71m,97Mi,1701921540.861909
front-end-55b89655c7-zh6kt,63m,98Mi,1701921562.7214668
front-end-55b89655c7-zh6kt,55m,100Mi,1701921585.1757617
front-end-55b89655c7-zh6kt,58m,102Mi,1701921607.5660112
front-end-55b89655c7-zh6kt,76m,101Mi,1701921630.0329154
front-end-55b89655c7-zh6kt,73m,102Mi,1701921652.0250757
front-end-55b89655c7-zh6kt,68m,105Mi,1701921674.0750825
front-end-55b89655c7-zh6kt,54m,105Mi,1701921696.5133226
front-end-55b89655c7-zh6kt,54m,105Mi,1701921718.9687862
front-end-55b89655c7-zh6kt,67m,101Mi,1701921741.8965456
front-end-55b89655c7-zh6kt,59m,100Mi,1701921764.3662372
front-end-55b89655c7-zh6kt,62m,103Mi,1701921786.9140446
front-end-55b89655c7-zh6kt,57m,104Mi,1701921809.4524736
front-end-55b89655c7-zh6kt,58m,102Mi,1701921831.932626
front-end-55b89655c7-zh6kt,65m,104Mi,1701921854.425139
front-end-55b89655c7-zh6kt,60m,103Mi,1701921876.8223007
front-end-55b89655c7-zh6kt,60m,103Mi,1701921899.2521644
front-end-55b89655c7-zh6kt,52m,100Mi,1701921921.645455
front-end-55b89655c7-zh6kt,39m,100Mi,1701921944.5144303
