POD,CPU,MEMORY,TIME
front-end-55b89655c7-429mc,2m,71Mi,1702031895.2136571
front-end-55b89655c7-429mc,2m,71Mi,1702031916.8486485
front-end-55b89655c7-429mc,47m,80Mi,1702031938.485194
front-end-55b89655c7-429mc,95m,105Mi,1702031960.123552
front-end-55b89655c7-429mc,77m,111Mi,1702031981.8463182
front-end-55b89655c7-429mc,85m,122Mi,1702032003.493426
front-end-55b89655c7-429mc,80m,126Mi,1702032025.1280909
front-end-55b89655c7-429mc,80m,125Mi,1702032046.8150685
front-end-55b89655c7-429mc,81m,128Mi,1702032068.6609113
front-end-55b89655c7-429mc,71m,116Mi,1702032090.5468323
front-end-55b89655c7-429mc,74m,111Mi,1702032112.3614016
front-end-55b89655c7-429mc,86m,113Mi,1702032134.22211
front-end-55b89655c7-429mc,67m,111Mi,1702032156.1003985
front-end-55b89655c7-429mc,56m,112Mi,1702032177.941452
front-end-55b89655c7-429mc,55m,108Mi,1702032199.879832
front-end-55b89655c7-429mc,52m,110Mi,1702032221.7102208
front-end-55b89655c7-429mc,69m,112Mi,1702032243.5613523
front-end-55b89655c7-429mc,52m,112Mi,1702032265.4089477
front-end-55b89655c7-429mc,62m,112Mi,1702032287.3349826
front-end-55b89655c7-429mc,81m,110Mi,1702032309.407697
front-end-55b89655c7-429mc,59m,111Mi,1702032331.3020236
front-end-55b89655c7-429mc,63m,110Mi,1702032353.1763241
front-end-55b89655c7-429mc,53m,111Mi,1702032375.038697
front-end-55b89655c7-429mc,56m,112Mi,1702032396.9309845
front-end-55b89655c7-429mc,91m,113Mi,1702032418.9577646
front-end-55b89655c7-429mc,64m,109Mi,1702032440.8560116
front-end-55b89655c7-429mc,67m,110Mi,1702032462.890641
front-end-55b89655c7-429mc,80m,112Mi,1702032484.797941
front-end-55b89655c7-429mc,93m,112Mi,1702032506.7259264
front-end-55b89655c7-429mc,70m,111Mi,1702032528.7334063
front-end-55b89655c7-429mc,54m,110Mi,1702032550.6019228
front-end-55b89655c7-429mc,64m,109Mi,1702032572.4531827
front-end-55b89655c7-429mc,64m,109Mi,1702032594.286227
front-end-55b89655c7-429mc,69m,106Mi,1702032616.1044884
front-end-55b89655c7-429mc,74m,108Mi,1702032638.0612278
front-end-55b89655c7-429mc,73m,107Mi,1702032659.960058
front-end-55b89655c7-429mc,80m,107Mi,1702032681.873941
front-end-55b89655c7-429mc,64m,110Mi,1702032703.7741232
front-end-55b89655c7-429mc,71m,109Mi,1702032725.7977526
front-end-55b89655c7-429mc,78m,110Mi,1702032747.8450987
front-end-55b89655c7-429mc,66m,108Mi,1702032769.842249
front-end-55b89655c7-429mc,64m,110Mi,1702032791.7058692
front-end-55b89655c7-429mc,33m,104Mi,1702032813.6513536
front-end-55b89655c7-429mc,70m,104Mi,1702032835.2948976
front-end-55b89655c7-429mc,71m,106Mi,1702032856.97838
front-end-55b89655c7-429mc,71m,108Mi,1702032878.663057
front-end-55b89655c7-429mc,72m,107Mi,1702032900.2751086
front-end-55b89655c7-429mc,63m,106Mi,1702032921.8459074
front-end-55b89655c7-429mc,52m,105Mi,1702032943.463707
front-end-55b89655c7-429mc,37m,108Mi,1702032965.208675
