POD,CPU,MEMORY,TIME
front-end-55b89655c7-4w8sc,5m,72Mi,1702031659.9591203
front-end-55b89655c7-4w8sc,5m,72Mi,1702031681.2749186
front-end-55b89655c7-4w8sc,60m,75Mi,1702031702.6054108
front-end-55b89655c7-4w8sc,60m,76Mi,1702031723.986888
front-end-55b89655c7-4w8sc,55m,95Mi,1702031745.3079414
front-end-55b89655c7-4w8sc,69m,96Mi,1702031766.7088568
front-end-55b89655c7-4w8sc,68m,100Mi,1702031788.027852
front-end-55b89655c7-4w8sc,78m,96Mi,1702031809.4618254
front-end-55b89655c7-4w8sc,77m,98Mi,1702031830.7888777
front-end-55b89655c7-4w8sc,90m,102Mi,1702031852.11625
front-end-55b89655c7-4w8sc,93m,101Mi,1702031873.647476
front-end-55b89655c7-4w8sc,87m,101Mi,1702031895.2136571
front-end-55b89655c7-4w8sc,101m,102Mi,1702031916.8486485
front-end-55b89655c7-4w8sc,84m,103Mi,1702031938.485194
front-end-55b89655c7-4w8sc,88m,102Mi,1702031960.123552
front-end-55b89655c7-4w8sc,89m,103Mi,1702031981.8463182
front-end-55b89655c7-4w8sc,95m,103Mi,1702032003.493426
front-end-55b89655c7-4w8sc,79m,102Mi,1702032025.1280909
front-end-55b89655c7-4w8sc,83m,103Mi,1702032046.8150685
front-end-55b89655c7-4w8sc,91m,102Mi,1702032068.6609113
front-end-55b89655c7-4w8sc,67m,101Mi,1702032090.5468323
front-end-55b89655c7-4w8sc,81m,100Mi,1702032112.3614016
front-end-55b89655c7-4w8sc,76m,100Mi,1702032134.22211
front-end-55b89655c7-4w8sc,79m,99Mi,1702032156.1003985
front-end-55b89655c7-4w8sc,64m,100Mi,1702032177.941452
front-end-55b89655c7-4w8sc,58m,103Mi,1702032199.879832
front-end-55b89655c7-4w8sc,50m,100Mi,1702032221.7102208
front-end-55b89655c7-4w8sc,46m,98Mi,1702032243.5613523
front-end-55b89655c7-4w8sc,54m,98Mi,1702032265.4089477
front-end-55b89655c7-4w8sc,59m,98Mi,1702032287.3349826
front-end-55b89655c7-4w8sc,59m,97Mi,1702032309.407697
front-end-55b89655c7-4w8sc,72m,101Mi,1702032331.3020236
front-end-55b89655c7-4w8sc,61m,96Mi,1702032353.1763241
front-end-55b89655c7-4w8sc,55m,98Mi,1702032375.038697
front-end-55b89655c7-4w8sc,62m,99Mi,1702032396.9309845
front-end-55b89655c7-4w8sc,79m,97Mi,1702032418.9577646
front-end-55b89655c7-4w8sc,55m,98Mi,1702032440.8560116
front-end-55b89655c7-4w8sc,73m,100Mi,1702032462.890641
front-end-55b89655c7-4w8sc,72m,100Mi,1702032484.797941
front-end-55b89655c7-4w8sc,88m,102Mi,1702032506.7259264
front-end-55b89655c7-4w8sc,58m,101Mi,1702032528.7334063
front-end-55b89655c7-4w8sc,76m,101Mi,1702032550.6019228
front-end-55b89655c7-4w8sc,59m,100Mi,1702032572.4531827
front-end-55b89655c7-4w8sc,63m,104Mi,1702032594.286227
front-end-55b89655c7-4w8sc,78m,97Mi,1702032616.1044884
front-end-55b89655c7-4w8sc,72m,98Mi,1702032638.0612278
front-end-55b89655c7-4w8sc,75m,101Mi,1702032659.960058
front-end-55b89655c7-4w8sc,77m,100Mi,1702032681.873941
front-end-55b89655c7-4w8sc,67m,103Mi,1702032703.7741232
front-end-55b89655c7-4w8sc,95m,101Mi,1702032725.7977526
front-end-55b89655c7-4w8sc,67m,101Mi,1702032747.8450987
front-end-55b89655c7-4w8sc,65m,101Mi,1702032769.842249
front-end-55b89655c7-4w8sc,65m,101Mi,1702032791.7058692
front-end-55b89655c7-4w8sc,44m,99Mi,1702032813.6513536
front-end-55b89655c7-4w8sc,39m,99Mi,1702032835.2948976
front-end-55b89655c7-4w8sc,66m,97Mi,1702032856.97838
front-end-55b89655c7-4w8sc,77m,99Mi,1702032878.663057
front-end-55b89655c7-4w8sc,74m,101Mi,1702032900.2751086
front-end-55b89655c7-4w8sc,63m,100Mi,1702032921.8459074
front-end-55b89655c7-4w8sc,63m,101Mi,1702032943.463707
front-end-55b89655c7-4w8sc,51m,103Mi,1702032965.208675
front-end-55b89655c7-4w8sc,68m,102Mi,1702032986.7086484
front-end-55b89655c7-4w8sc,59m,102Mi,1702033008.0181828
front-end-55b89655c7-4w8sc,49m,101Mi,1702033029.332701
front-end-55b89655c7-4w8sc,1m,101Mi,1702033050.607589
front-end-55b89655c7-4w8sc,2m,101Mi,1702033071.9581861
front-end-55b89655c7-4w8sc,1m,101Mi,1702033093.333373
