POD,CPU,MEMORY,TIME
front-end-55b89655c7-662pg,47m,70Mi,1702027814.9455729
front-end-55b89655c7-662pg,1m,70Mi,1702027836.7662425
front-end-55b89655c7-662pg,2m,71Mi,1702027858.6577008
front-end-55b89655c7-662pg,63m,80Mi,1702027880.475678
front-end-55b89655c7-662pg,66m,93Mi,1702027902.3210483
front-end-55b89655c7-662pg,72m,98Mi,1702027924.1760604
front-end-55b89655c7-662pg,72m,98Mi,1702027946.0996883
front-end-55b89655c7-662pg,58m,99Mi,1702027968.0674229
front-end-55b89655c7-662pg,58m,99Mi,1702027990.0473423
front-end-55b89655c7-662pg,72m,101Mi,1702028011.9238484
front-end-55b89655c7-662pg,83m,103Mi,1702028033.8069088
front-end-55b89655c7-662pg,65m,102Mi,1702028055.7267778
front-end-55b89655c7-662pg,78m,99Mi,1702028077.6996176
front-end-55b89655c7-662pg,59m,99Mi,1702028099.5402246
front-end-55b89655c7-662pg,69m,100Mi,1702028121.4349976
front-end-55b89655c7-662pg,59m,101Mi,1702028143.2973464
front-end-55b89655c7-662pg,58m,100Mi,1702028165.176291
front-end-55b89655c7-662pg,56m,101Mi,1702028187.118132
front-end-55b89655c7-662pg,71m,93Mi,1702028208.960748
front-end-55b89655c7-662pg,47m,94Mi,1702028230.8183422
front-end-55b89655c7-662pg,60m,101Mi,1702028252.8114917
front-end-55b89655c7-662pg,64m,101Mi,1702028274.6090336
front-end-55b89655c7-662pg,62m,101Mi,1702028296.5130572
front-end-55b89655c7-662pg,74m,102Mi,1702028318.3333006
front-end-55b89655c7-662pg,66m,102Mi,1702028340.1456501
front-end-55b89655c7-662pg,75m,101Mi,1702028361.965207
front-end-55b89655c7-662pg,91m,100Mi,1702028383.793566
front-end-55b89655c7-662pg,67m,101Mi,1702028405.782395
front-end-55b89655c7-662pg,85m,101Mi,1702028427.6632786
front-end-55b89655c7-662pg,90m,101Mi,1702028449.533443
front-end-55b89655c7-662pg,78m,103Mi,1702028471.435985
front-end-55b89655c7-662pg,68m,99Mi,1702028493.3294961
front-end-55b89655c7-662pg,76m,101Mi,1702028515.2916963
front-end-55b89655c7-662pg,69m,101Mi,1702028537.1940634
front-end-55b89655c7-662pg,68m,102Mi,1702028559.054827
front-end-55b89655c7-662pg,76m,106Mi,1702028580.941529
front-end-55b89655c7-662pg,71m,99Mi,1702028602.8267374
front-end-55b89655c7-662pg,78m,102Mi,1702028624.790432
front-end-55b89655c7-662pg,82m,100Mi,1702028646.6720471
front-end-55b89655c7-662pg,66m,101Mi,1702028668.6502502
front-end-55b89655c7-662pg,63m,103Mi,1702028690.536279
front-end-55b89655c7-662pg,77m,102Mi,1702028712.4185472
front-end-55b89655c7-662pg,73m,101Mi,1702028734.377154
front-end-55b89655c7-662pg,65m,101Mi,1702028756.24726
front-end-55b89655c7-662pg,64m,101Mi,1702028778.098985
front-end-55b89655c7-662pg,57m,101Mi,1702028799.9039145
front-end-55b89655c7-662pg,72m,106Mi,1702028821.733619
front-end-55b89655c7-662pg,81m,105Mi,1702028843.649817
front-end-55b89655c7-662pg,69m,95Mi,1702028865.5246994
front-end-55b89655c7-662pg,66m,98Mi,1702028887.3442543
front-end-55b89655c7-662pg,70m,99Mi,1702028909.2720423
