POD,CPU,MEMORY,TIME
front-end-55b89655c7-fck8m,2m,71Mi,1702030717.156785
front-end-55b89655c7-fck8m,66m,71Mi,1702030738.7580533
front-end-55b89655c7-fck8m,68m,78Mi,1702030760.3685606
front-end-55b89655c7-fck8m,62m,96Mi,1702030781.9621933
front-end-55b89655c7-fck8m,44m,98Mi,1702030803.6026394
front-end-55b89655c7-fck8m,41m,98Mi,1702030825.1711411
front-end-55b89655c7-fck8m,71m,100Mi,1702030846.780117
front-end-55b89655c7-fck8m,61m,100Mi,1702030868.45244
front-end-55b89655c7-fck8m,39m,100Mi,1702030890.033483
front-end-55b89655c7-fck8m,56m,100Mi,1702030911.695694
front-end-55b89655c7-fck8m,51m,99Mi,1702030933.2628944
front-end-55b89655c7-fck8m,52m,93Mi,1702030954.8308897
front-end-55b89655c7-fck8m,52m,95Mi,1702030976.4011045
front-end-55b89655c7-fck8m,44m,100Mi,1702030997.966425
front-end-55b89655c7-fck8m,45m,102Mi,1702031019.6387017
front-end-55b89655c7-fck8m,40m,101Mi,1702031041.2283225
front-end-55b89655c7-fck8m,40m,99Mi,1702031062.8234427
front-end-55b89655c7-fck8m,7m,94Mi,1702031084.4771938
