POD,CPU,MEMORY,TIME
front-end-55b89655c7-hcbsw,46m,70Mi,1702025218.1866858
front-end-55b89655c7-hcbsw,46m,71Mi,1702025240.14675
front-end-55b89655c7-hcbsw,62m,76Mi,1702025261.9795465
front-end-55b89655c7-hcbsw,71m,96Mi,1702025283.811967
front-end-55b89655c7-hcbsw,58m,98Mi,1702025305.6867235
front-end-55b89655c7-hcbsw,78m,102Mi,1702025327.5540528
front-end-55b89655c7-hcbsw,72m,103Mi,1702025349.5235908
front-end-55b89655c7-hcbsw,66m,101Mi,1702025371.470098
front-end-55b89655c7-hcbsw,75m,102Mi,1702025393.356551
front-end-55b89655c7-hcbsw,65m,101Mi,1702025415.1961625
front-end-55b89655c7-hcbsw,62m,102Mi,1702025437.0345547
front-end-55b89655c7-hcbsw,69m,100Mi,1702025458.9579792
front-end-55b89655c7-hcbsw,55m,100Mi,1702025480.796876
front-end-55b89655c7-hcbsw,55m,100Mi,1702025502.628782
front-end-55b89655c7-hcbsw,59m,101Mi,1702025524.4811196
front-end-55b89655c7-hcbsw,58m,102Mi,1702025546.4230115
front-end-55b89655c7-hcbsw,61m,97Mi,1702025568.341151
front-end-55b89655c7-hcbsw,62m,100Mi,1702025590.2069716
front-end-55b89655c7-hcbsw,58m,99Mi,1702025612.1674523
front-end-55b89655c7-hcbsw,61m,98Mi,1702025633.9894965
front-end-55b89655c7-hcbsw,82m,101Mi,1702025655.7965524
front-end-55b89655c7-hcbsw,65m,101Mi,1702025677.699944
front-end-55b89655c7-hcbsw,58m,101Mi,1702025699.5201526
front-end-55b89655c7-hcbsw,59m,100Mi,1702025721.3698263
front-end-55b89655c7-hcbsw,79m,100Mi,1702025743.2083151
front-end-55b89655c7-hcbsw,64m,98Mi,1702025765.076707
front-end-55b89655c7-hcbsw,61m,97Mi,1702025787.0852249
front-end-55b89655c7-hcbsw,77m,100Mi,1702025809.0530574
front-end-55b89655c7-hcbsw,61m,94Mi,1702025830.9300337
front-end-55b89655c7-hcbsw,78m,96Mi,1702025852.7922757
front-end-55b89655c7-hcbsw,65m,100Mi,1702025874.636434
front-end-55b89655c7-hcbsw,69m,100Mi,1702025896.5970845
front-end-55b89655c7-hcbsw,87m,101Mi,1702025919.9030359
front-end-55b89655c7-hcbsw,57m,99Mi,1702025941.7853668
front-end-55b89655c7-hcbsw,72m,97Mi,1702025963.676627
front-end-55b89655c7-hcbsw,65m,96Mi,1702025985.6937587
front-end-55b89655c7-hcbsw,62m,98Mi,1702026007.6438923
front-end-55b89655c7-hcbsw,62m,100Mi,1702026029.5038743
front-end-55b89655c7-hcbsw,57m,102Mi,1702026051.3508463
front-end-55b89655c7-hcbsw,57m,102Mi,1702026073.184357
front-end-55b89655c7-hcbsw,55m,99Mi,1702026094.9882388
front-end-55b89655c7-hcbsw,57m,99Mi,1702026116.8599646
front-end-55b89655c7-hcbsw,47m,100Mi,1702026138.685311
front-end-55b89655c7-hcbsw,58m,102Mi,1702026160.5140567
front-end-55b89655c7-hcbsw,49m,101Mi,1702026182.3291469
front-end-55b89655c7-hcbsw,58m,100Mi,1702026204.1441681
front-end-55b89655c7-hcbsw,57m,100Mi,1702026226.0973728
front-end-55b89655c7-hcbsw,50m,101Mi,1702026247.9047155
front-end-55b89655c7-hcbsw,42m,100Mi,1702026269.783174
