POD,CPU,MEMORY,TIME
front-end-55b89655c7-htzsf,1m,70Mi,1702029779.9401774
front-end-55b89655c7-htzsf,13m,62Mi,1702029802.1301444
front-end-55b89655c7-htzsf,66m,76Mi,1702029824.4019654
front-end-55b89655c7-htzsf,68m,94Mi,1702029846.5480833
front-end-55b89655c7-htzsf,67m,95Mi,1702029868.7084215
front-end-55b89655c7-htzsf,63m,99Mi,1702029890.8418875
front-end-55b89655c7-htzsf,64m,101Mi,1702029912.8987296
front-end-55b89655c7-htzsf,63m,95Mi,1702029935.1417837
front-end-55b89655c7-htzsf,65m,99Mi,1702029957.2040732
front-end-55b89655c7-htzsf,56m,100Mi,1702029979.3009737
front-end-55b89655c7-htzsf,46m,100Mi,1702030001.414059
front-end-55b89655c7-htzsf,47m,102Mi,1702030023.493862
front-end-55b89655c7-htzsf,50m,101Mi,1702030045.6543314
front-end-55b89655c7-htzsf,44m,95Mi,1702030067.843789
