POD,CPU,MEMORY,TIME
front-end-55b89655c7-rrppq,54m,70Mi,1702027116.6310148
front-end-55b89655c7-rrppq,54m,70Mi,1702027138.493922
front-end-55b89655c7-rrppq,3m,72Mi,1702027160.4409187
front-end-55b89655c7-rrppq,76m,79Mi,1702027182.2764716
front-end-55b89655c7-rrppq,65m,93Mi,1702027204.2280328
front-end-55b89655c7-rrppq,53m,96Mi,1702027226.0342686
front-end-55b89655c7-rrppq,64m,98Mi,1702027247.8231978
front-end-55b89655c7-rrppq,70m,101Mi,1702027269.6178598
front-end-55b89655c7-rrppq,74m,100Mi,1702027291.4618013
front-end-55b89655c7-rrppq,63m,99Mi,1702027313.3827012
front-end-55b89655c7-rrppq,71m,100Mi,1702027335.338007
front-end-55b89655c7-rrppq,82m,99Mi,1702027357.1854484
front-end-55b89655c7-rrppq,68m,100Mi,1702027379.0450172
front-end-55b89655c7-rrppq,67m,101Mi,1702027400.914821
front-end-55b89655c7-rrppq,64m,99Mi,1702027422.8622713
front-end-55b89655c7-rrppq,87m,102Mi,1702027444.8162498
front-end-55b89655c7-rrppq,71m,102Mi,1702027466.7086906
front-end-55b89655c7-rrppq,87m,101Mi,1702027488.7097383
front-end-55b89655c7-rrppq,70m,98Mi,1702027510.6170185
front-end-55b89655c7-rrppq,78m,102Mi,1702027532.5934734
front-end-55b89655c7-rrppq,60m,101Mi,1702027554.4224381
front-end-55b89655c7-rrppq,70m,98Mi,1702027576.288693
front-end-55b89655c7-rrppq,49m,97Mi,1702027598.1134644
front-end-55b89655c7-rrppq,51m,100Mi,1702027619.9262187
front-end-55b89655c7-rrppq,68m,102Mi,1702027641.959525
