POD,CPU,MEMORY,TIME
front-end-55b89655c7-rv6x4,46m,70Mi,1702026529.3084455
front-end-55b89655c7-rv6x4,46m,70Mi,1702026551.2623541
front-end-55b89655c7-rv6x4,3m,71Mi,1702026573.1420345
front-end-55b89655c7-rv6x4,60m,71Mi,1702026595.004177
front-end-55b89655c7-rv6x4,66m,95Mi,1702026616.8960884
front-end-55b89655c7-rv6x4,57m,93Mi,1702026638.7145257
front-end-55b89655c7-rv6x4,60m,99Mi,1702026660.6285594
front-end-55b89655c7-rv6x4,63m,99Mi,1702026682.5116527
front-end-55b89655c7-rv6x4,68m,99Mi,1702026704.3148859
front-end-55b89655c7-rv6x4,59m,102Mi,1702026726.1416707
front-end-55b89655c7-rv6x4,59m,102Mi,1702026747.9773936
front-end-55b89655c7-rv6x4,65m,103Mi,1702026769.8964329
front-end-55b89655c7-rv6x4,56m,101Mi,1702026791.717899
front-end-55b89655c7-rv6x4,56m,98Mi,1702026813.6472285
