POD,CPU,MEMORY,TIME
front-end-55b89655c7-tcpts,13m,61Mi,1702022887.7928097
front-end-55b89655c7-tcpts,74m,71Mi,1702022909.1304188
front-end-55b89655c7-tcpts,63m,94Mi,1702022930.464343
front-end-55b89655c7-tcpts,50m,98Mi,1702022951.9521408
front-end-55b89655c7-tcpts,46m,98Mi,1702022973.4270563
front-end-55b89655c7-tcpts,57m,99Mi,1702022994.8103886
front-end-55b89655c7-tcpts,55m,102Mi,1702023016.1452281
front-end-55b89655c7-tcpts,44m,101Mi,1702023037.4456723
front-end-55b89655c7-tcpts,54m,99Mi,1702023058.8872654
front-end-55b89655c7-tcpts,74m,96Mi,1702023080.3320148
front-end-55b89655c7-tcpts,78m,98Mi,1702023101.7759104
front-end-55b89655c7-tcpts,80m,103Mi,1702023123.1423137
front-end-55b89655c7-tcpts,70m,102Mi,1702023144.4609802
front-end-55b89655c7-tcpts,72m,102Mi,1702023165.9538157
front-end-55b89655c7-tcpts,54m,95Mi,1702023187.2915177
front-end-55b89655c7-tcpts,72m,94Mi,1702023208.6374903
front-end-55b89655c7-tcpts,73m,98Mi,1702023229.9851282
front-end-55b89655c7-tcpts,90m,100Mi,1702023251.4481354
front-end-55b89655c7-tcpts,89m,99Mi,1702023272.9202018
front-end-55b89655c7-tcpts,89m,101Mi,1702023294.3594687
front-end-55b89655c7-tcpts,92m,101Mi,1702023315.9160995
front-end-55b89655c7-tcpts,84m,102Mi,1702023337.5632546
front-end-55b89655c7-tcpts,64m,100Mi,1702023359.2603843
front-end-55b89655c7-tcpts,48m,100Mi,1702023380.9207838
front-end-55b89655c7-tcpts,43m,98Mi,1702023402.5078652
front-end-55b89655c7-tcpts,60m,100Mi,1702023424.1068316
front-end-55b89655c7-tcpts,73m,101Mi,1702023445.8229094
front-end-55b89655c7-tcpts,69m,102Mi,1702023467.4502442
front-end-55b89655c7-tcpts,61m,102Mi,1702023489.161178
front-end-55b89655c7-tcpts,68m,100Mi,1702023510.7544804
front-end-55b89655c7-tcpts,68m,99Mi,1702023532.3935509
front-end-55b89655c7-tcpts,60m,98Mi,1702023554.0096219
front-end-55b89655c7-tcpts,64m,99Mi,1702023575.7628777
front-end-55b89655c7-tcpts,82m,99Mi,1702023597.3892279
front-end-55b89655c7-tcpts,68m,102Mi,1702023619.0836837
front-end-55b89655c7-tcpts,68m,102Mi,1702023640.84766
front-end-55b89655c7-tcpts,76m,100Mi,1702023662.79038
front-end-55b89655c7-tcpts,72m,98Mi,1702023684.6764438
front-end-55b89655c7-tcpts,77m,101Mi,1702023706.6493044
front-end-55b89655c7-tcpts,77m,101Mi,1702023728.5133042
front-end-55b89655c7-tcpts,58m,99Mi,1702023750.4765718
front-end-55b89655c7-tcpts,51m,95Mi,1702023772.3647547
front-end-55b89655c7-tcpts,44m,96Mi,1702023794.2473426
front-end-55b89655c7-tcpts,46m,97Mi,1702023816.1810775
front-end-55b89655c7-tcpts,50m,100Mi,1702023838.0944023
front-end-55b89655c7-tcpts,66m,98Mi,1702023860.009831
front-end-55b89655c7-tcpts,57m,100Mi,1702023881.928422
front-end-55b89655c7-tcpts,68m,95Mi,1702023903.8038576
front-end-55b89655c7-tcpts,60m,96Mi,1702023925.9841044
front-end-55b89655c7-tcpts,69m,97Mi,1702023948.0376694
front-end-55b89655c7-tcpts,65m,98Mi,1702023969.9507282
front-end-55b89655c7-tcpts,65m,101Mi,1702023991.9450762
front-end-55b89655c7-tcpts,69m,100Mi,1702024013.8984146
front-end-55b89655c7-tcpts,66m,100Mi,1702024035.906111
front-end-55b89655c7-tcpts,61m,100Mi,1702024057.816341
front-end-55b89655c7-tcpts,88m,96Mi,1702024079.784213
front-end-55b89655c7-tcpts,72m,95Mi,1702024101.7737124
front-end-55b89655c7-tcpts,85m,99Mi,1702024123.6529949
front-end-55b89655c7-tcpts,70m,98Mi,1702024145.713141
front-end-55b89655c7-tcpts,70m,98Mi,1702024167.6558146
front-end-55b89655c7-tcpts,63m,99Mi,1702024189.6606414
front-end-55b89655c7-tcpts,75m,99Mi,1702024211.7282658
front-end-55b89655c7-tcpts,65m,102Mi,1702024233.9065776
front-end-55b89655c7-tcpts,65m,97Mi,1702024255.9468997
front-end-55b89655c7-tcpts,57m,96Mi,1702024277.865162
front-end-55b89655c7-tcpts,57m,96Mi,1702024299.8471036
front-end-55b89655c7-tcpts,70m,98Mi,1702024321.9070199
