POD,CPU,MEMORY,TIME
front-end-55b89655c7-twfzt,58m,71Mi,1702029560.2913682
front-end-55b89655c7-twfzt,1m,71Mi,1702029582.1792617
front-end-55b89655c7-twfzt,80m,71Mi,1702029604.1704516
front-end-55b89655c7-twfzt,72m,80Mi,1702029626.0592732
front-end-55b89655c7-twfzt,64m,98Mi,1702029647.9360778
front-end-55b89655c7-twfzt,94m,99Mi,1702029669.8427281
front-end-55b89655c7-twfzt,76m,102Mi,1702029691.7501018
front-end-55b89655c7-twfzt,99m,101Mi,1702029713.9014661
front-end-55b89655c7-twfzt,67m,100Mi,1702029735.8200247
front-end-55b89655c7-twfzt,67m,100Mi,1702029757.8195653
front-end-55b89655c7-twfzt,78m,103Mi,1702029779.9401774
front-end-55b89655c7-twfzt,78m,103Mi,1702029802.1301444
front-end-55b89655c7-twfzt,62m,99Mi,1702029824.4019654
front-end-55b89655c7-twfzt,63m,98Mi,1702029846.5480833
front-end-55b89655c7-twfzt,63m,98Mi,1702029868.7084215
front-end-55b89655c7-twfzt,68m,100Mi,1702029890.8418875
front-end-55b89655c7-twfzt,63m,100Mi,1702029912.8987296
front-end-55b89655c7-twfzt,60m,101Mi,1702029935.1417837
front-end-55b89655c7-twfzt,64m,102Mi,1702029957.2040732
front-end-55b89655c7-twfzt,54m,105Mi,1702029979.3009737
front-end-55b89655c7-twfzt,54m,105Mi,1702030001.414059
front-end-55b89655c7-twfzt,46m,99Mi,1702030023.493862
front-end-55b89655c7-twfzt,54m,95Mi,1702030045.6543314
front-end-55b89655c7-twfzt,47m,98Mi,1702030067.843789
front-end-55b89655c7-twfzt,66m,101Mi,1702030089.759364
front-end-55b89655c7-twfzt,55m,99Mi,1702030111.6176908
front-end-55b89655c7-twfzt,58m,98Mi,1702030133.550676
front-end-55b89655c7-twfzt,51m,94Mi,1702030155.4628677
front-end-55b89655c7-twfzt,51m,94Mi,1702030177.2789388
front-end-55b89655c7-twfzt,59m,94Mi,1702030199.1046393
front-end-55b89655c7-twfzt,79m,99Mi,1702030220.9715478
front-end-55b89655c7-twfzt,55m,98Mi,1702030242.8246565
front-end-55b89655c7-twfzt,53m,101Mi,1702030264.7312686
front-end-55b89655c7-twfzt,36m,93Mi,1702030286.6613061
