POD,CPU,MEMORY,TIME
front-end-55b89655c7-tz985,40m,70Mi,1702032046.8150685
front-end-55b89655c7-tz985,40m,70Mi,1702032068.6609113
front-end-55b89655c7-tz985,10m,62Mi,1702032090.5468323
front-end-55b89655c7-tz985,86m,81Mi,1702032112.3614016
front-end-55b89655c7-tz985,78m,99Mi,1702032134.22211
front-end-55b89655c7-tz985,59m,106Mi,1702032156.1003985
front-end-55b89655c7-tz985,54m,109Mi,1702032177.941452
front-end-55b89655c7-tz985,51m,116Mi,1702032199.879832
front-end-55b89655c7-tz985,59m,117Mi,1702032221.7102208
front-end-55b89655c7-tz985,49m,118Mi,1702032243.5613523
front-end-55b89655c7-tz985,45m,104Mi,1702032265.4089477
front-end-55b89655c7-tz985,50m,102Mi,1702032287.3349826
front-end-55b89655c7-tz985,62m,103Mi,1702032309.407697
front-end-55b89655c7-tz985,58m,105Mi,1702032331.3020236
front-end-55b89655c7-tz985,54m,105Mi,1702032353.1763241
front-end-55b89655c7-tz985,41m,103Mi,1702032375.038697
front-end-55b89655c7-tz985,56m,103Mi,1702032396.9309845
front-end-55b89655c7-tz985,73m,106Mi,1702032418.9577646
front-end-55b89655c7-tz985,62m,106Mi,1702032440.8560116
front-end-55b89655c7-tz985,68m,105Mi,1702032462.890641
front-end-55b89655c7-tz985,70m,106Mi,1702032484.797941
front-end-55b89655c7-tz985,72m,106Mi,1702032506.7259264
front-end-55b89655c7-tz985,61m,106Mi,1702032528.7334063
front-end-55b89655c7-tz985,61m,106Mi,1702032550.6019228
front-end-55b89655c7-tz985,71m,101Mi,1702032572.4531827
front-end-55b89655c7-tz985,70m,102Mi,1702032594.286227
front-end-55b89655c7-tz985,71m,105Mi,1702032616.1044884
front-end-55b89655c7-tz985,71m,105Mi,1702032638.0612278
front-end-55b89655c7-tz985,101m,105Mi,1702032659.960058
front-end-55b89655c7-tz985,67m,104Mi,1702032681.873941
front-end-55b89655c7-tz985,82m,105Mi,1702032703.7741232
front-end-55b89655c7-tz985,72m,105Mi,1702032725.7977526
front-end-55b89655c7-tz985,69m,107Mi,1702032747.8450987
front-end-55b89655c7-tz985,60m,105Mi,1702032769.842249
front-end-55b89655c7-tz985,55m,105Mi,1702032791.7058692
front-end-55b89655c7-tz985,44m,97Mi,1702032813.6513536
