POD,CPU,MEMORY,TIME
front-end-55b89655c7-w6f5s,44m,71Mi,1702023662.79038
front-end-55b89655c7-w6f5s,77m,80Mi,1702023684.6764438
front-end-55b89655c7-w6f5s,63m,94Mi,1702023706.6493044
front-end-55b89655c7-w6f5s,67m,97Mi,1702023728.5133042
front-end-55b89655c7-w6f5s,52m,100Mi,1702023750.4765718
front-end-55b89655c7-w6f5s,51m,101Mi,1702023772.3647547
front-end-55b89655c7-w6f5s,55m,102Mi,1702023794.2473426
front-end-55b89655c7-w6f5s,51m,102Mi,1702023816.1810775
front-end-55b89655c7-w6f5s,57m,97Mi,1702023838.0944023
front-end-55b89655c7-w6f5s,56m,97Mi,1702023860.009831
front-end-55b89655c7-w6f5s,51m,100Mi,1702023881.928422
front-end-55b89655c7-w6f5s,54m,94Mi,1702023903.8038576
front-end-55b89655c7-w6f5s,84m,97Mi,1702023925.9841044
front-end-55b89655c7-w6f5s,57m,98Mi,1702023948.0376694
front-end-55b89655c7-w6f5s,57m,98Mi,1702023969.9507282
front-end-55b89655c7-w6f5s,52m,101Mi,1702023991.9450762
front-end-55b89655c7-w6f5s,77m,100Mi,1702024013.8984146
front-end-55b89655c7-w6f5s,59m,97Mi,1702024035.906111
front-end-55b89655c7-w6f5s,63m,99Mi,1702024057.816341
front-end-55b89655c7-w6f5s,61m,100Mi,1702024079.784213
front-end-55b89655c7-w6f5s,73m,100Mi,1702024101.7737124
front-end-55b89655c7-w6f5s,73m,100Mi,1702024123.6529949
front-end-55b89655c7-w6f5s,72m,99Mi,1702024145.713141
front-end-55b89655c7-w6f5s,84m,100Mi,1702024167.6558146
front-end-55b89655c7-w6f5s,85m,102Mi,1702024189.6606414
front-end-55b89655c7-w6f5s,85m,102Mi,1702024211.7282658
front-end-55b89655c7-w6f5s,60m,102Mi,1702024233.9065776
front-end-55b89655c7-w6f5s,56m,100Mi,1702024255.9468997
front-end-55b89655c7-w6f5s,59m,99Mi,1702024277.865162
front-end-55b89655c7-w6f5s,78m,100Mi,1702024299.8471036
front-end-55b89655c7-w6f5s,68m,92Mi,1702024321.9070199
front-end-55b89655c7-w6f5s,77m,97Mi,1702024343.9180565
front-end-55b89655c7-w6f5s,73m,98Mi,1702024366.1644871
front-end-55b89655c7-w6f5s,76m,101Mi,1702024388.5300996
front-end-55b89655c7-w6f5s,60m,99Mi,1702024410.7473757
front-end-55b89655c7-w6f5s,56m,100Mi,1702024432.9615119
front-end-55b89655c7-w6f5s,67m,100Mi,1702024455.1840825
front-end-55b89655c7-w6f5s,75m,95Mi,1702024477.5000873
front-end-55b89655c7-w6f5s,47m,100Mi,1702024499.6241133
front-end-55b89655c7-w6f5s,47m,99Mi,1702024521.8551064
front-end-55b89655c7-w6f5s,63m,92Mi,1702024543.7887256
front-end-55b89655c7-w6f5s,60m,97Mi,1702024565.7543125
front-end-55b89655c7-w6f5s,60m,97Mi,1702024587.769256
front-end-55b89655c7-w6f5s,53m,98Mi,1702024609.6643665
front-end-55b89655c7-w6f5s,53m,98Mi,1702024631.5846293
front-end-55b89655c7-w6f5s,52m,97Mi,1702024653.458562
front-end-55b89655c7-w6f5s,52m,98Mi,1702024675.4532294
front-end-55b89655c7-w6f5s,57m,92Mi,1702024697.574037
