POD,CPU,MEMORY,TIME
front-end-55b89655c7-xjqfb,1m,74Mi,1702022526.5349581
front-end-55b89655c7-xjqfb,18m,82Mi,1702022547.687452
front-end-55b89655c7-xjqfb,101m,101Mi,1702022568.764153
front-end-55b89655c7-xjqfb,93m,106Mi,1702022589.9280427
front-end-55b89655c7-xjqfb,82m,106Mi,1702022611.3009129
front-end-55b89655c7-xjqfb,73m,108Mi,1702022632.765248
front-end-55b89655c7-xjqfb,37m,107Mi,1702022654.1168923
front-end-55b89655c7-xjqfb,57m,109Mi,1702022675.4658065
front-end-55b89655c7-xjqfb,49m,100Mi,1702022696.7567642
front-end-55b89655c7-xjqfb,48m,102Mi,1702022718.192761
front-end-55b89655c7-xjqfb,60m,102Mi,1702022739.4284778
front-end-55b89655c7-xjqfb,98m,105Mi,1702022760.6030219
front-end-55b89655c7-xjqfb,89m,106Mi,1702022781.7096648
front-end-55b89655c7-xjqfb,86m,108Mi,1702022802.812576
front-end-55b89655c7-xjqfb,101m,106Mi,1702022823.9210281
front-end-55b89655c7-xjqfb,101m,106Mi,1702022845.1740263
front-end-55b89655c7-xjqfb,100m,106Mi,1702022866.487113
front-end-55b89655c7-xjqfb,53m,108Mi,1702022887.7928097
front-end-55b89655c7-xjqfb,55m,109Mi,1702022909.1304188
front-end-55b89655c7-xjqfb,61m,107Mi,1702022930.464343
front-end-55b89655c7-xjqfb,56m,110Mi,1702022951.9521408
front-end-55b89655c7-xjqfb,55m,109Mi,1702022973.4270563
front-end-55b89655c7-xjqfb,64m,109Mi,1702022994.8103886
front-end-55b89655c7-xjqfb,67m,110Mi,1702023016.1452281
front-end-55b89655c7-xjqfb,56m,111Mi,1702023037.4456723
front-end-55b89655c7-xjqfb,59m,110Mi,1702023058.8872654
front-end-55b89655c7-xjqfb,84m,108Mi,1702023080.3320148
front-end-55b89655c7-xjqfb,84m,103Mi,1702023101.7759104
front-end-55b89655c7-xjqfb,83m,105Mi,1702023123.1423137
front-end-55b89655c7-xjqfb,79m,106Mi,1702023144.4609802
front-end-55b89655c7-xjqfb,70m,104Mi,1702023165.9538157
front-end-55b89655c7-xjqfb,71m,108Mi,1702023187.2915177
front-end-55b89655c7-xjqfb,68m,106Mi,1702023208.6374903
front-end-55b89655c7-xjqfb,88m,107Mi,1702023229.9851282
front-end-55b89655c7-xjqfb,85m,105Mi,1702023251.4481354
front-end-55b89655c7-xjqfb,92m,107Mi,1702023272.9202018
front-end-55b89655c7-xjqfb,83m,105Mi,1702023294.3594687
front-end-55b89655c7-xjqfb,87m,105Mi,1702023315.9160995
front-end-55b89655c7-xjqfb,82m,104Mi,1702023337.5632546
front-end-55b89655c7-xjqfb,59m,104Mi,1702023359.2603843
front-end-55b89655c7-xjqfb,56m,100Mi,1702023380.9207838
front-end-55b89655c7-xjqfb,56m,100Mi,1702023402.5078652
front-end-55b89655c7-xjqfb,68m,103Mi,1702023424.1068316
front-end-55b89655c7-xjqfb,75m,106Mi,1702023445.8229094
front-end-55b89655c7-xjqfb,61m,109Mi,1702023467.4502442
front-end-55b89655c7-xjqfb,71m,107Mi,1702023489.161178
front-end-55b89655c7-xjqfb,59m,102Mi,1702023510.7544804
front-end-55b89655c7-xjqfb,67m,102Mi,1702023532.3935509
front-end-55b89655c7-xjqfb,90m,104Mi,1702023554.0096219
front-end-55b89655c7-xjqfb,83m,104Mi,1702023575.7628777
front-end-55b89655c7-xjqfb,84m,108Mi,1702023597.3892279
front-end-55b89655c7-xjqfb,68m,109Mi,1702023619.0836837
front-end-55b89655c7-xjqfb,86m,104Mi,1702023640.84766
front-end-55b89655c7-xjqfb,77m,100Mi,1702023662.79038
front-end-55b89655c7-xjqfb,78m,103Mi,1702023684.6764438
front-end-55b89655c7-xjqfb,87m,108Mi,1702023706.6493044
front-end-55b89655c7-xjqfb,59m,110Mi,1702023728.5133042
front-end-55b89655c7-xjqfb,55m,108Mi,1702023750.4765718
front-end-55b89655c7-xjqfb,56m,108Mi,1702023772.3647547
front-end-55b89655c7-xjqfb,52m,110Mi,1702023794.2473426
front-end-55b89655c7-xjqfb,53m,109Mi,1702023816.1810775
front-end-55b89655c7-xjqfb,51m,102Mi,1702023838.0944023
front-end-55b89655c7-xjqfb,53m,100Mi,1702023860.009831
front-end-55b89655c7-xjqfb,52m,101Mi,1702023881.928422
front-end-55b89655c7-xjqfb,60m,106Mi,1702023903.8038576
front-end-55b89655c7-xjqfb,77m,107Mi,1702023925.9841044
front-end-55b89655c7-xjqfb,62m,106Mi,1702023948.0376694
front-end-55b89655c7-xjqfb,89m,108Mi,1702023969.9507282
front-end-55b89655c7-xjqfb,64m,109Mi,1702023991.9450762
front-end-55b89655c7-xjqfb,60m,108Mi,1702024013.8984146
front-end-55b89655c7-xjqfb,53m,110Mi,1702024035.906111
front-end-55b89655c7-xjqfb,54m,109Mi,1702024057.816341
front-end-55b89655c7-xjqfb,66m,108Mi,1702024079.784213
front-end-55b89655c7-xjqfb,62m,108Mi,1702024101.7737124
front-end-55b89655c7-xjqfb,78m,100Mi,1702024123.6529949
front-end-55b89655c7-xjqfb,73m,104Mi,1702024145.713141
front-end-55b89655c7-xjqfb,77m,106Mi,1702024167.6558146
front-end-55b89655c7-xjqfb,58m,106Mi,1702024189.6606414
front-end-55b89655c7-xjqfb,76m,107Mi,1702024211.7282658
front-end-55b89655c7-xjqfb,66m,107Mi,1702024233.9065776
front-end-55b89655c7-xjqfb,66m,108Mi,1702024255.9468997
front-end-55b89655c7-xjqfb,70m,110Mi,1702024277.865162
front-end-55b89655c7-xjqfb,77m,100Mi,1702024299.8471036
front-end-55b89655c7-xjqfb,73m,104Mi,1702024321.9070199
front-end-55b89655c7-xjqfb,98m,104Mi,1702024343.9180565
front-end-55b89655c7-xjqfb,86m,105Mi,1702024366.1644871
front-end-55b89655c7-xjqfb,81m,106Mi,1702024388.5300996
front-end-55b89655c7-xjqfb,73m,104Mi,1702024410.7473757
front-end-55b89655c7-xjqfb,64m,105Mi,1702024432.9615119
front-end-55b89655c7-xjqfb,62m,104Mi,1702024455.1840825
front-end-55b89655c7-xjqfb,60m,109Mi,1702024477.5000873
front-end-55b89655c7-xjqfb,42m,107Mi,1702024499.6241133
front-end-55b89655c7-xjqfb,49m,108Mi,1702024521.8551064
front-end-55b89655c7-xjqfb,66m,108Mi,1702024543.7887256
front-end-55b89655c7-xjqfb,58m,102Mi,1702024565.7543125
front-end-55b89655c7-xjqfb,58m,108Mi,1702024587.769256
front-end-55b89655c7-xjqfb,52m,106Mi,1702024609.6643665
front-end-55b89655c7-xjqfb,56m,105Mi,1702024631.5846293
front-end-55b89655c7-xjqfb,55m,105Mi,1702024653.458562
front-end-55b89655c7-xjqfb,48m,109Mi,1702024675.4532294
front-end-55b89655c7-xjqfb,58m,106Mi,1702024697.574037
front-end-55b89655c7-xjqfb,77m,107Mi,1702024719.4230428
front-end-55b89655c7-xjqfb,80m,107Mi,1702024741.0877938
front-end-55b89655c7-xjqfb,80m,108Mi,1702024762.7405694
front-end-55b89655c7-xjqfb,80m,106Mi,1702024784.4051566
front-end-55b89655c7-xjqfb,81m,103Mi,1702024806.1527739
front-end-55b89655c7-xjqfb,81m,103Mi,1702024827.808417
front-end-55b89655c7-xjqfb,66m,105Mi,1702024849.4349205
front-end-55b89655c7-xjqfb,70m,106Mi,1702024871.1135144
front-end-55b89655c7-xjqfb,84m,107Mi,1702024892.7785532
front-end-55b89655c7-xjqfb,77m,107Mi,1702024914.52899
front-end-55b89655c7-xjqfb,81m,108Mi,1702024936.1947765
front-end-55b89655c7-xjqfb,85m,107Mi,1702024957.870943
front-end-55b89655c7-xjqfb,72m,108Mi,1702024979.511459
front-end-55b89655c7-xjqfb,63m,109Mi,1702025001.1873198
front-end-55b89655c7-xjqfb,72m,102Mi,1702025022.9651096
front-end-55b89655c7-xjqfb,72m,103Mi,1702025044.6922479
front-end-55b89655c7-xjqfb,77m,105Mi,1702025066.3485918
front-end-55b89655c7-xjqfb,77m,105Mi,1702025087.9860754
front-end-55b89655c7-xjqfb,80m,105Mi,1702025109.65389
front-end-55b89655c7-xjqfb,70m,107Mi,1702025131.2988894
front-end-55b89655c7-xjqfb,80m,108Mi,1702025152.949632
front-end-55b89655c7-xjqfb,97m,109Mi,1702025174.6111119
front-end-55b89655c7-xjqfb,73m,108Mi,1702025196.3948278
front-end-55b89655c7-xjqfb,84m,109Mi,1702025218.1866858
front-end-55b89655c7-xjqfb,64m,109Mi,1702025240.14675
front-end-55b89655c7-xjqfb,49m,109Mi,1702025261.9795465
front-end-55b89655c7-xjqfb,66m,110Mi,1702025283.811967
front-end-55b89655c7-xjqfb,65m,104Mi,1702025305.6867235
front-end-55b89655c7-xjqfb,69m,107Mi,1702025327.5540528
front-end-55b89655c7-xjqfb,92m,106Mi,1702025349.5235908
front-end-55b89655c7-xjqfb,70m,108Mi,1702025371.470098
front-end-55b89655c7-xjqfb,70m,104Mi,1702025393.356551
front-end-55b89655c7-xjqfb,60m,107Mi,1702025415.1961625
front-end-55b89655c7-xjqfb,67m,106Mi,1702025437.0345547
front-end-55b89655c7-xjqfb,72m,111Mi,1702025458.9579792
front-end-55b89655c7-xjqfb,58m,106Mi,1702025480.796876
front-end-55b89655c7-xjqfb,55m,106Mi,1702025502.628782
front-end-55b89655c7-xjqfb,73m,108Mi,1702025524.4811196
front-end-55b89655c7-xjqfb,64m,108Mi,1702025546.4230115
front-end-55b89655c7-xjqfb,65m,104Mi,1702025568.341151
front-end-55b89655c7-xjqfb,84m,108Mi,1702025590.2069716
front-end-55b89655c7-xjqfb,56m,108Mi,1702025612.1674523
front-end-55b89655c7-xjqfb,64m,108Mi,1702025633.9894965
front-end-55b89655c7-xjqfb,60m,108Mi,1702025655.7965524
front-end-55b89655c7-xjqfb,69m,109Mi,1702025677.699944
front-end-55b89655c7-xjqfb,72m,106Mi,1702025699.5201526
front-end-55b89655c7-xjqfb,70m,107Mi,1702025721.3698263
front-end-55b89655c7-xjqfb,68m,109Mi,1702025743.2083151
front-end-55b89655c7-xjqfb,55m,110Mi,1702025765.076707
front-end-55b89655c7-xjqfb,67m,110Mi,1702025787.0852249
front-end-55b89655c7-xjqfb,87m,107Mi,1702025809.0530574
front-end-55b89655c7-xjqfb,68m,108Mi,1702025830.9300337
front-end-55b89655c7-xjqfb,80m,112Mi,1702025852.7922757
front-end-55b89655c7-xjqfb,67m,110Mi,1702025874.636434
front-end-55b89655c7-xjqfb,77m,108Mi,1702025896.5970845
front-end-55b89655c7-xjqfb,72m,107Mi,1702025919.9030359
front-end-55b89655c7-xjqfb,56m,108Mi,1702025941.7853668
front-end-55b89655c7-xjqfb,92m,108Mi,1702025963.676627
front-end-55b89655c7-xjqfb,73m,105Mi,1702025985.6937587
front-end-55b89655c7-xjqfb,70m,108Mi,1702026007.6438923
front-end-55b89655c7-xjqfb,59m,109Mi,1702026029.5038743
front-end-55b89655c7-xjqfb,69m,112Mi,1702026051.3508463
front-end-55b89655c7-xjqfb,60m,109Mi,1702026073.184357
front-end-55b89655c7-xjqfb,63m,107Mi,1702026094.9882388
front-end-55b89655c7-xjqfb,52m,108Mi,1702026116.8599646
front-end-55b89655c7-xjqfb,65m,100Mi,1702026138.685311
front-end-55b89655c7-xjqfb,68m,101Mi,1702026160.5140567
front-end-55b89655c7-xjqfb,69m,99Mi,1702026182.3291469
front-end-55b89655c7-xjqfb,56m,99Mi,1702026204.1441681
front-end-55b89655c7-xjqfb,50m,101Mi,1702026226.0973728
front-end-55b89655c7-xjqfb,49m,104Mi,1702026247.9047155
front-end-55b89655c7-xjqfb,52m,98Mi,1702026269.783174
