POD,CPU,MEMORY,TIME
front-end-55b89655c7-4b8jl,47m,65Mi,1701969289.1611183
front-end-55b89655c7-4b8jl,69m,66Mi,1701969311.1337113
front-end-55b89655c7-4b8jl,73m,71Mi,1701969332.9957445
front-end-55b89655c7-4b8jl,56m,89Mi,1701969354.9016924
front-end-55b89655c7-4b8jl,58m,92Mi,1701969376.786207
front-end-55b89655c7-4b8jl,54m,93Mi,1701969398.6490176
front-end-55b89655c7-4b8jl,71m,94Mi,1701969420.8386996
front-end-55b89655c7-4b8jl,58m,94Mi,1701969442.8111339
front-end-55b89655c7-4b8jl,59m,96Mi,1701969464.6976092
front-end-55b89655c7-4b8jl,59m,94Mi,1701969486.6093473
front-end-55b89655c7-4b8jl,60m,96Mi,1701969508.504915
front-end-55b89655c7-4b8jl,67m,93Mi,1701969530.4268742
front-end-55b89655c7-4b8jl,75m,91Mi,1701969552.2514975
front-end-55b89655c7-4b8jl,71m,95Mi,1701969574.0634625
front-end-55b89655c7-4b8jl,71m,94Mi,1701969595.884109
front-end-55b89655c7-4b8jl,71m,94Mi,1701969617.7281845
front-end-55b89655c7-4b8jl,61m,94Mi,1701969639.6936412
front-end-55b89655c7-4b8jl,70m,96Mi,1701969661.7201576
front-end-55b89655c7-4b8jl,64m,95Mi,1701969683.6065323
front-end-55b89655c7-4b8jl,75m,97Mi,1701969705.5208766
front-end-55b89655c7-4b8jl,77m,96Mi,1701969727.4399025
front-end-55b89655c7-4b8jl,81m,97Mi,1701969749.4236736
front-end-55b89655c7-4b8jl,81m,96Mi,1701969771.3617828
front-end-55b89655c7-4b8jl,70m,96Mi,1701969793.3648548
front-end-55b89655c7-4b8jl,80m,96Mi,1701969815.2695904
front-end-55b89655c7-4b8jl,76m,97Mi,1701969837.1450338
front-end-55b89655c7-4b8jl,55m,95Mi,1701969859.25585
front-end-55b89655c7-4b8jl,74m,96Mi,1701969881.1728053
front-end-55b89655c7-4b8jl,60m,90Mi,1701969903.0570307
front-end-55b89655c7-4b8jl,64m,87Mi,1701969924.9566047
front-end-55b89655c7-4b8jl,56m,92Mi,1701969946.8300393
front-end-55b89655c7-4b8jl,53m,95Mi,1701969968.808528
front-end-55b89655c7-4b8jl,47m,94Mi,1701969990.70471
front-end-55b89655c7-4b8jl,1m,95Mi,1701970012.6476865
