POD,CPU,MEMORY,TIME
front-end-55b89655c7-dmbb6,37m,65Mi,1701973472.2853954
front-end-55b89655c7-dmbb6,16m,55Mi,1701973494.5169837
front-end-55b89655c7-dmbb6,67m,71Mi,1701973516.7239141
front-end-55b89655c7-dmbb6,75m,71Mi,1701973538.8379257
front-end-55b89655c7-dmbb6,65m,91Mi,1701973561.0105195
front-end-55b89655c7-dmbb6,70m,94Mi,1701973583.1862464
front-end-55b89655c7-dmbb6,64m,92Mi,1701973605.33251
front-end-55b89655c7-dmbb6,52m,94Mi,1701973627.5349925
front-end-55b89655c7-dmbb6,63m,95Mi,1701973649.7374828
front-end-55b89655c7-dmbb6,71m,96Mi,1701973671.9459345
front-end-55b89655c7-dmbb6,71m,96Mi,1701973694.2256675
front-end-55b89655c7-dmbb6,65m,94Mi,1701973716.4706242
front-end-55b89655c7-dmbb6,58m,96Mi,1701973738.68503
front-end-55b89655c7-dmbb6,58m,95Mi,1701973760.928607
front-end-55b89655c7-dmbb6,58m,95Mi,1701973783.1385949
front-end-55b89655c7-dmbb6,64m,95Mi,1701973805.407166
front-end-55b89655c7-dmbb6,58m,96Mi,1701973827.5963607
front-end-55b89655c7-dmbb6,55m,95Mi,1701973849.7919855
front-end-55b89655c7-dmbb6,46m,96Mi,1701973872.0410764
