POD,CPU,MEMORY,TIME
front-end-55b89655c7-htfx6,59m,65Mi,1701970949.613063
front-end-55b89655c7-htfx6,1m,65Mi,1701970971.5244954
front-end-55b89655c7-htfx6,2m,65Mi,1701970993.4610898
front-end-55b89655c7-htfx6,55m,65Mi,1701971015.3909976
front-end-55b89655c7-htfx6,64m,94Mi,1701971037.2935653
front-end-55b89655c7-htfx6,88m,96Mi,1701971059.2870126
front-end-55b89655c7-htfx6,56m,99Mi,1701971081.2065449
front-end-55b89655c7-htfx6,60m,96Mi,1701971103.146531
front-end-55b89655c7-htfx6,63m,96Mi,1701971124.9534783
front-end-55b89655c7-htfx6,72m,94Mi,1701971146.7879977
front-end-55b89655c7-htfx6,64m,95Mi,1701971168.6916268
front-end-55b89655c7-htfx6,72m,95Mi,1701971190.5441108
front-end-55b89655c7-htfx6,85m,93Mi,1701971212.4116523
front-end-55b89655c7-htfx6,55m,94Mi,1701971234.401349
front-end-55b89655c7-htfx6,75m,97Mi,1701971256.3305101
front-end-55b89655c7-htfx6,65m,94Mi,1701971278.3543837
front-end-55b89655c7-htfx6,70m,93Mi,1701971300.3057017
front-end-55b89655c7-htfx6,69m,95Mi,1701971322.2750762
front-end-55b89655c7-htfx6,65m,94Mi,1701971344.2078118
front-end-55b89655c7-htfx6,63m,94Mi,1701971366.1147397
front-end-55b89655c7-htfx6,70m,95Mi,1701971388.1148636
front-end-55b89655c7-htfx6,83m,97Mi,1701971410.0563514
front-end-55b89655c7-htfx6,73m,95Mi,1701971431.9481337
front-end-55b89655c7-htfx6,58m,95Mi,1701971453.7904146
front-end-55b89655c7-htfx6,50m,95Mi,1701971475.6228428
front-end-55b89655c7-htfx6,65m,94Mi,1701971497.5781834
front-end-55b89655c7-htfx6,67m,94Mi,1701971519.5255504
front-end-55b89655c7-htfx6,66m,94Mi,1701971541.5772386
front-end-55b89655c7-htfx6,74m,95Mi,1701971563.5224612
front-end-55b89655c7-htfx6,79m,94Mi,1701971585.4477465
front-end-55b89655c7-htfx6,66m,95Mi,1701971607.3923728
front-end-55b89655c7-htfx6,71m,97Mi,1701971629.2511644
front-end-55b89655c7-htfx6,62m,91Mi,1701971651.0803194
front-end-55b89655c7-htfx6,56m,90Mi,1701971672.927451
front-end-55b89655c7-htfx6,78m,92Mi,1701971694.8879957
front-end-55b89655c7-htfx6,64m,95Mi,1701971716.8617601
front-end-55b89655c7-htfx6,71m,95Mi,1701971738.7214842
front-end-55b89655c7-htfx6,57m,96Mi,1701971760.6307616
front-end-55b89655c7-htfx6,62m,95Mi,1701971782.5486553
front-end-55b89655c7-htfx6,62m,95Mi,1701971804.4774342
front-end-55b89655c7-htfx6,69m,96Mi,1701971826.555986
front-end-55b89655c7-htfx6,62m,97Mi,1701971848.4489543
front-end-55b89655c7-htfx6,69m,95Mi,1701971870.4269423
front-end-55b89655c7-htfx6,63m,96Mi,1701971892.2969186
front-end-55b89655c7-htfx6,66m,93Mi,1701971914.1779773
front-end-55b89655c7-htfx6,74m,94Mi,1701971936.3766305
front-end-55b89655c7-htfx6,73m,94Mi,1701971958.3270597
front-end-55b89655c7-htfx6,70m,97Mi,1701971980.2015185
front-end-55b89655c7-htfx6,69m,94Mi,1701972002.1664517
front-end-55b89655c7-htfx6,66m,96Mi,1701972024.040754
front-end-55b89655c7-htfx6,61m,95Mi,1701972046.048432
