POD,CPU,MEMORY,TIME
front-end-55b89655c7-js4xd,57m,67Mi,1701973362.06987
front-end-55b89655c7-js4xd,57m,67Mi,1701973383.9905748
front-end-55b89655c7-js4xd,72m,92Mi,1701973405.9265926
front-end-55b89655c7-js4xd,63m,91Mi,1701973427.8641226
front-end-55b89655c7-js4xd,88m,94Mi,1701973450.0606852
front-end-55b89655c7-js4xd,64m,95Mi,1701973472.2853954
front-end-55b89655c7-js4xd,75m,97Mi,1701973494.5169837
front-end-55b89655c7-js4xd,65m,96Mi,1701973516.7239141
front-end-55b89655c7-js4xd,70m,94Mi,1701973538.8379257
front-end-55b89655c7-js4xd,62m,96Mi,1701973561.0105195
front-end-55b89655c7-js4xd,67m,97Mi,1701973583.1862464
front-end-55b89655c7-js4xd,64m,96Mi,1701973605.33251
front-end-55b89655c7-js4xd,73m,95Mi,1701973627.5349925
front-end-55b89655c7-js4xd,65m,94Mi,1701973649.7374828
front-end-55b89655c7-js4xd,79m,98Mi,1701973671.9459345
front-end-55b89655c7-js4xd,58m,94Mi,1701973694.2256675
front-end-55b89655c7-js4xd,66m,94Mi,1701973716.4706242
front-end-55b89655c7-js4xd,78m,93Mi,1701973738.68503
front-end-55b89655c7-js4xd,64m,93Mi,1701973760.928607
front-end-55b89655c7-js4xd,63m,94Mi,1701973783.1385949
front-end-55b89655c7-js4xd,62m,93Mi,1701973805.407166
front-end-55b89655c7-js4xd,58m,95Mi,1701973827.5963607
front-end-55b89655c7-js4xd,46m,95Mi,1701973849.7919855
front-end-55b89655c7-js4xd,48m,89Mi,1701973872.0410764
front-end-55b89655c7-js4xd,48m,89Mi,1701973893.9953425
front-end-55b89655c7-js4xd,72m,91Mi,1701973916.054527
front-end-55b89655c7-js4xd,68m,93Mi,1701973937.9019296
front-end-55b89655c7-js4xd,58m,97Mi,1701973959.7392051
front-end-55b89655c7-js4xd,63m,92Mi,1701973981.571627
front-end-55b89655c7-js4xd,51m,95Mi,1701974003.4367373
front-end-55b89655c7-js4xd,54m,92Mi,1701974025.4007993
front-end-55b89655c7-js4xd,62m,95Mi,1701974047.3676085
