POD,CPU,MEMORY,TIME
front-end-55b89655c7-njh79,96m,77Mi,1701975788.9750729
front-end-55b89655c7-njh79,88m,100Mi,1701975810.6826217
front-end-55b89655c7-njh79,73m,111Mi,1701975832.3997798
front-end-55b89655c7-njh79,93m,115Mi,1701975854.1481793
front-end-55b89655c7-njh79,88m,120Mi,1701975875.7798007
front-end-55b89655c7-njh79,82m,124Mi,1701975897.4204638
front-end-55b89655c7-njh79,86m,122Mi,1701975919.1160166
front-end-55b89655c7-njh79,79m,101Mi,1701975940.9199815
front-end-55b89655c7-njh79,79m,101Mi,1701975962.893386
front-end-55b89655c7-njh79,73m,105Mi,1701975984.806526
front-end-55b89655c7-njh79,73m,105Mi,1701976006.690335
front-end-55b89655c7-njh79,70m,102Mi,1701976028.5747685
front-end-55b89655c7-njh79,69m,103Mi,1701976050.4314616
front-end-55b89655c7-njh79,48m,105Mi,1701976072.3714864
front-end-55b89655c7-njh79,62m,106Mi,1701976094.24622
front-end-55b89655c7-njh79,59m,103Mi,1701976116.153025
front-end-55b89655c7-njh79,62m,102Mi,1701976137.9477525
front-end-55b89655c7-njh79,87m,103Mi,1701976159.4969394
front-end-55b89655c7-njh79,67m,102Mi,1701976181.128482
front-end-55b89655c7-njh79,73m,100Mi,1701976202.6975477
front-end-55b89655c7-njh79,66m,100Mi,1701976224.2593994
front-end-55b89655c7-njh79,71m,101Mi,1701976245.8218596
front-end-55b89655c7-njh79,95m,102Mi,1701976267.4554508
front-end-55b89655c7-njh79,82m,103Mi,1701976289.1856885
front-end-55b89655c7-njh79,81m,102Mi,1701976310.812511
front-end-55b89655c7-njh79,86m,103Mi,1701976332.5293248
front-end-55b89655c7-njh79,87m,104Mi,1701976354.4123373
front-end-55b89655c7-njh79,89m,104Mi,1701976376.2829642
front-end-55b89655c7-njh79,72m,103Mi,1701976398.239859
front-end-55b89655c7-njh79,70m,104Mi,1701976420.1254215
front-end-55b89655c7-njh79,60m,105Mi,1701976442.0107465
front-end-55b89655c7-njh79,81m,101Mi,1701976463.9089866
front-end-55b89655c7-njh79,71m,102Mi,1701976485.889038
front-end-55b89655c7-njh79,72m,104Mi,1701976507.8833513
front-end-55b89655c7-njh79,80m,103Mi,1701976529.779938
front-end-55b89655c7-njh79,74m,100Mi,1701976551.752071
front-end-55b89655c7-njh79,72m,102Mi,1701976573.6717696
front-end-55b89655c7-njh79,93m,101Mi,1701976595.6150172
front-end-55b89655c7-njh79,63m,102Mi,1701976617.609791
front-end-55b89655c7-njh79,61m,103Mi,1701976639.5209672
front-end-55b89655c7-njh79,52m,102Mi,1701976661.3507533
front-end-55b89655c7-njh79,54m,102Mi,1701976683.4071743
front-end-55b89655c7-njh79,53m,103Mi,1701976705.2335265
front-end-55b89655c7-njh79,59m,102Mi,1701976727.1270247
front-end-55b89655c7-njh79,48m,95Mi,1701976749.0539865
front-end-55b89655c7-njh79,52m,99Mi,1701976770.766346
front-end-55b89655c7-njh79,56m,99Mi,1701976792.5222375
front-end-55b89655c7-njh79,54m,100Mi,1701976814.234492
front-end-55b89655c7-njh79,53m,100Mi,1701976835.9024987
front-end-55b89655c7-njh79,49m,102Mi,1701976857.7436004
front-end-55b89655c7-njh79,30m,100Mi,1701976879.3609247
