POD,CPU,MEMORY,TIME
front-end-55b89655c7-qlmdr,2m,65Mi,1701975488.4269364
front-end-55b89655c7-qlmdr,54m,64Mi,1701975510.1669793
front-end-55b89655c7-qlmdr,58m,70Mi,1701975531.6143637
front-end-55b89655c7-qlmdr,45m,70Mi,1701975552.975229
front-end-55b89655c7-qlmdr,54m,82Mi,1701975574.3276293
front-end-55b89655c7-qlmdr,62m,92Mi,1701975595.6472907
front-end-55b89655c7-qlmdr,62m,92Mi,1701975617.0869703
front-end-55b89655c7-qlmdr,62m,94Mi,1701975638.5369737
front-end-55b89655c7-qlmdr,72m,95Mi,1701975659.8924675
front-end-55b89655c7-qlmdr,85m,95Mi,1701975681.3557687
front-end-55b89655c7-qlmdr,85m,96Mi,1701975702.705622
front-end-55b89655c7-qlmdr,84m,93Mi,1701975724.0782974
front-end-55b89655c7-qlmdr,95m,92Mi,1701975745.6005008
front-end-55b89655c7-qlmdr,94m,94Mi,1701975767.2242987
front-end-55b89655c7-qlmdr,84m,96Mi,1701975788.9750729
front-end-55b89655c7-qlmdr,100m,93Mi,1701975810.6826217
front-end-55b89655c7-qlmdr,90m,95Mi,1701975832.3997798
front-end-55b89655c7-qlmdr,84m,96Mi,1701975854.1481793
front-end-55b89655c7-qlmdr,87m,96Mi,1701975875.7798007
front-end-55b89655c7-qlmdr,93m,95Mi,1701975897.4204638
front-end-55b89655c7-qlmdr,81m,96Mi,1701975919.1160166
front-end-55b89655c7-qlmdr,72m,96Mi,1701975940.9199815
front-end-55b89655c7-qlmdr,83m,95Mi,1701975962.893386
front-end-55b89655c7-qlmdr,87m,96Mi,1701975984.806526
front-end-55b89655c7-qlmdr,59m,96Mi,1701976006.690335
front-end-55b89655c7-qlmdr,72m,97Mi,1701976028.5747685
front-end-55b89655c7-qlmdr,54m,93Mi,1701976050.4314616
front-end-55b89655c7-qlmdr,60m,95Mi,1701976072.3714864
front-end-55b89655c7-qlmdr,59m,97Mi,1701976094.24622
front-end-55b89655c7-qlmdr,54m,97Mi,1701976116.153025
front-end-55b89655c7-qlmdr,67m,97Mi,1701976137.9477525
front-end-55b89655c7-qlmdr,102m,96Mi,1701976159.4969394
front-end-55b89655c7-qlmdr,73m,96Mi,1701976181.128482
front-end-55b89655c7-qlmdr,68m,97Mi,1701976202.6975477
front-end-55b89655c7-qlmdr,70m,95Mi,1701976224.2593994
front-end-55b89655c7-qlmdr,55m,95Mi,1701976245.8218596
front-end-55b89655c7-qlmdr,91m,96Mi,1701976267.4554508
front-end-55b89655c7-qlmdr,90m,96Mi,1701976289.1856885
front-end-55b89655c7-qlmdr,80m,94Mi,1701976310.812511
front-end-55b89655c7-qlmdr,96m,94Mi,1701976332.5293248
front-end-55b89655c7-qlmdr,80m,96Mi,1701976354.4123373
front-end-55b89655c7-qlmdr,71m,95Mi,1701976376.2829642
front-end-55b89655c7-qlmdr,71m,95Mi,1701976398.239859
front-end-55b89655c7-qlmdr,73m,95Mi,1701976420.1254215
front-end-55b89655c7-qlmdr,73m,92Mi,1701976442.0107465
front-end-55b89655c7-qlmdr,74m,96Mi,1701976463.9089866
front-end-55b89655c7-qlmdr,74m,96Mi,1701976485.889038
front-end-55b89655c7-qlmdr,72m,96Mi,1701976507.8833513
front-end-55b89655c7-qlmdr,92m,97Mi,1701976529.779938
front-end-55b89655c7-qlmdr,79m,94Mi,1701976551.752071
front-end-55b89655c7-qlmdr,75m,98Mi,1701976573.6717696
front-end-55b89655c7-qlmdr,75m,98Mi,1701976595.6150172
front-end-55b89655c7-qlmdr,66m,96Mi,1701976617.609791
front-end-55b89655c7-qlmdr,65m,96Mi,1701976639.5209672
front-end-55b89655c7-qlmdr,53m,97Mi,1701976661.3507533
front-end-55b89655c7-qlmdr,56m,98Mi,1701976683.4071743
front-end-55b89655c7-qlmdr,48m,98Mi,1701976705.2335265
front-end-55b89655c7-qlmdr,54m,95Mi,1701976727.1270247
front-end-55b89655c7-qlmdr,52m,95Mi,1701976749.0539865
front-end-55b89655c7-qlmdr,55m,95Mi,1701976770.766346
front-end-55b89655c7-qlmdr,55m,97Mi,1701976792.5222375
front-end-55b89655c7-qlmdr,53m,94Mi,1701976814.234492
front-end-55b89655c7-qlmdr,46m,99Mi,1701976835.9024987
front-end-55b89655c7-qlmdr,46m,99Mi,1701976857.7436004
front-end-55b89655c7-qlmdr,37m,96Mi,1701976879.3609247
front-end-55b89655c7-qlmdr,4m,94Mi,1701976900.6943014
front-end-55b89655c7-qlmdr,1m,94Mi,1701976921.9730341
front-end-55b89655c7-qlmdr,2m,94Mi,1701976943.3210235
front-end-55b89655c7-qlmdr,2m,94Mi,1701976964.621022
front-end-55b89655c7-qlmdr,2m,94Mi,1701976986.713612
front-end-55b89655c7-qlmdr,2m,95Mi,1701977008.490018
front-end-55b89655c7-qlmdr,1m,95Mi,1701977029.6541445
