POD,CPU,MEMORY,TIME
front-end-55b89655c7-rh8kk,1m,65Mi,1701967824.6046283
front-end-55b89655c7-rh8kk,2m,65Mi,1701967846.5538971
front-end-55b89655c7-rh8kk,66m,63Mi,1701967868.4324627
front-end-55b89655c7-rh8kk,57m,71Mi,1701967890.5224996
front-end-55b89655c7-rh8kk,63m,90Mi,1701967912.3975832
front-end-55b89655c7-rh8kk,62m,89Mi,1701967934.3070312
front-end-55b89655c7-rh8kk,66m,94Mi,1701967956.410746
front-end-55b89655c7-rh8kk,57m,94Mi,1701967978.3059113
front-end-55b89655c7-rh8kk,70m,94Mi,1701968000.1970875
front-end-55b89655c7-rh8kk,61m,94Mi,1701968022.0400867
front-end-55b89655c7-rh8kk,69m,94Mi,1701968043.9053745
front-end-55b89655c7-rh8kk,59m,96Mi,1701968065.7685368
front-end-55b89655c7-rh8kk,60m,94Mi,1701968087.6536198
front-end-55b89655c7-rh8kk,60m,94Mi,1701968109.5679193
front-end-55b89655c7-rh8kk,59m,88Mi,1701968131.4243171
front-end-55b89655c7-rh8kk,64m,90Mi,1701968153.4035513
front-end-55b89655c7-rh8kk,64m,94Mi,1701968175.2975569
front-end-55b89655c7-rh8kk,84m,95Mi,1701968197.2549636
front-end-55b89655c7-rh8kk,66m,96Mi,1701968219.4058366
front-end-55b89655c7-rh8kk,86m,94Mi,1701968241.303177
front-end-55b89655c7-rh8kk,72m,95Mi,1701968263.258269
front-end-55b89655c7-rh8kk,86m,97Mi,1701968285.5102563
front-end-55b89655c7-rh8kk,70m,95Mi,1701968307.5595033
front-end-55b89655c7-rh8kk,93m,94Mi,1701968329.8436964
front-end-55b89655c7-rh8kk,62m,95Mi,1701968351.7554853
front-end-55b89655c7-rh8kk,62m,94Mi,1701968373.6034195
front-end-55b89655c7-rh8kk,58m,95Mi,1701968395.5044172
front-end-55b89655c7-rh8kk,76m,97Mi,1701968417.3772576
front-end-55b89655c7-rh8kk,54m,92Mi,1701968439.6064878
front-end-55b89655c7-rh8kk,52m,89Mi,1701968461.4431336
front-end-55b89655c7-rh8kk,44m,90Mi,1701968483.3390417
front-end-55b89655c7-rh8kk,43m,92Mi,1701968505.1798592
front-end-55b89655c7-rh8kk,42m,94Mi,1701968527.0507522
front-end-55b89655c7-rh8kk,53m,93Mi,1701968549.0738325
front-end-55b89655c7-rh8kk,72m,93Mi,1701968570.9479797
front-end-55b89655c7-rh8kk,61m,96Mi,1701968592.8503506
front-end-55b89655c7-rh8kk,56m,95Mi,1701968614.7084122
front-end-55b89655c7-rh8kk,63m,91Mi,1701968636.6023717
front-end-55b89655c7-rh8kk,49m,90Mi,1701968658.5768445
front-end-55b89655c7-rh8kk,61m,94Mi,1701968680.4351022
front-end-55b89655c7-rh8kk,53m,91Mi,1701968702.3470986
front-end-55b89655c7-rh8kk,69m,94Mi,1701968724.463316
front-end-55b89655c7-rh8kk,67m,94Mi,1701968746.3003635
front-end-55b89655c7-rh8kk,53m,95Mi,1701968768.2553155
front-end-55b89655c7-rh8kk,51m,95Mi,1701968790.099567
front-end-55b89655c7-rh8kk,58m,94Mi,1701968812.0274594
front-end-55b89655c7-rh8kk,50m,93Mi,1701968833.898799
front-end-55b89655c7-rh8kk,18m,94Mi,1701968855.8202705
