POD,CPU,MEMORY,TIME
front-end-55b89655c7-wcrq8,20m,65Mi,1701966508.8926654
front-end-55b89655c7-wcrq8,10m,67Mi,1701966530.2851195
front-end-55b89655c7-wcrq8,45m,63Mi,1701966551.6288574
front-end-55b89655c7-wcrq8,49m,70Mi,1701966572.9874306
front-end-55b89655c7-wcrq8,62m,80Mi,1701966594.4056067
front-end-55b89655c7-wcrq8,67m,89Mi,1701966615.8810422
front-end-55b89655c7-wcrq8,49m,93Mi,1701966637.3292558
front-end-55b89655c7-wcrq8,49m,93Mi,1701966658.648174
front-end-55b89655c7-wcrq8,43m,90Mi,1701966680.0082922
front-end-55b89655c7-wcrq8,94m,89Mi,1701966701.5819767
front-end-55b89655c7-wcrq8,65m,92Mi,1701966722.9982946
front-end-55b89655c7-wcrq8,52m,93Mi,1701966744.325991
front-end-55b89655c7-wcrq8,55m,93Mi,1701966765.6720688
front-end-55b89655c7-wcrq8,61m,87Mi,1701966787.0061955
front-end-55b89655c7-wcrq8,50m,91Mi,1701966808.4179387
front-end-55b89655c7-wcrq8,50m,91Mi,1701966829.777636
front-end-55b89655c7-wcrq8,60m,92Mi,1701966851.1122687
front-end-55b89655c7-wcrq8,59m,94Mi,1701966872.4261813
front-end-55b89655c7-wcrq8,55m,95Mi,1701966893.755284
front-end-55b89655c7-wcrq8,52m,95Mi,1701966915.4722624
front-end-55b89655c7-wcrq8,89m,97Mi,1701966936.806759
front-end-55b89655c7-wcrq8,77m,95Mi,1701966958.263256
front-end-55b89655c7-wcrq8,84m,92Mi,1701966979.812401
front-end-55b89655c7-wcrq8,66m,93Mi,1701967001.3328717
front-end-55b89655c7-wcrq8,60m,94Mi,1701967023.0056114
front-end-55b89655c7-wcrq8,40m,93Mi,1701967044.7534132
front-end-55b89655c7-wcrq8,40m,93Mi,1701967066.3643532
front-end-55b89655c7-wcrq8,60m,95Mi,1701967087.954349
front-end-55b89655c7-wcrq8,74m,96Mi,1701967109.5516398
front-end-55b89655c7-wcrq8,72m,91Mi,1701967131.249048
front-end-55b89655c7-wcrq8,58m,91Mi,1701967152.9455297
front-end-55b89655c7-wcrq8,57m,94Mi,1701967174.5232568
front-end-55b89655c7-wcrq8,64m,91Mi,1701967196.1420178
front-end-55b89655c7-wcrq8,51m,91Mi,1701967217.7050645
front-end-55b89655c7-wcrq8,43m,91Mi,1701967239.352292
front-end-55b89655c7-wcrq8,44m,92Mi,1701967260.9519145
front-end-55b89655c7-wcrq8,56m,89Mi,1701967282.565004
front-end-55b89655c7-wcrq8,68m,92Mi,1701967304.2587855
front-end-55b89655c7-wcrq8,73m,93Mi,1701967325.8684385
front-end-55b89655c7-wcrq8,65m,94Mi,1701967347.5428925
front-end-55b89655c7-wcrq8,75m,95Mi,1701967369.1131003
front-end-55b89655c7-wcrq8,71m,94Mi,1701967390.752464
front-end-55b89655c7-wcrq8,73m,94Mi,1701967412.3199081
front-end-55b89655c7-wcrq8,69m,95Mi,1701967433.8706791
front-end-55b89655c7-wcrq8,70m,87Mi,1701967455.5812426
front-end-55b89655c7-wcrq8,75m,96Mi,1701967477.192957
front-end-55b89655c7-wcrq8,81m,92Mi,1701967498.810189
front-end-55b89655c7-wcrq8,83m,94Mi,1701967520.4631426
front-end-55b89655c7-wcrq8,77m,96Mi,1701967542.0749915
front-end-55b89655c7-wcrq8,87m,96Mi,1701967563.8019965
front-end-55b89655c7-wcrq8,79m,97Mi,1701967585.502648
front-end-55b89655c7-wcrq8,67m,97Mi,1701967607.4523065
front-end-55b89655c7-wcrq8,71m,93Mi,1701967629.0739248
