POD,CPU,MEMORY,TIME
front-end-55b89655c7-xjcx5,31m,59Mi,1701974542.9104066
front-end-55b89655c7-xjcx5,92m,74Mi,1701974564.7279196
front-end-55b89655c7-xjcx5,75m,99Mi,1701974586.351763
front-end-55b89655c7-xjcx5,55m,104Mi,1701974607.9703746
front-end-55b89655c7-xjcx5,54m,105Mi,1701974629.5947335
front-end-55b89655c7-xjcx5,56m,109Mi,1701974651.1868045
front-end-55b89655c7-xjcx5,47m,113Mi,1701974672.9124012
front-end-55b89655c7-xjcx5,53m,111Mi,1701974694.5222423
front-end-55b89655c7-xjcx5,72m,113Mi,1701974716.126071
front-end-55b89655c7-xjcx5,55m,107Mi,1701974737.9143212
front-end-55b89655c7-xjcx5,50m,109Mi,1701974759.619395
front-end-55b89655c7-xjcx5,48m,100Mi,1701974781.2934082
front-end-55b89655c7-xjcx5,53m,103Mi,1701974802.9198668
front-end-55b89655c7-xjcx5,43m,101Mi,1701974824.676658
front-end-55b89655c7-xjcx5,50m,104Mi,1701974846.3232133
