POD,CPU,MEMORY,TIME
front-end-55b89655c7-z7hwf,61m,65Mi,1701976332.5293248
front-end-55b89655c7-z7hwf,1m,65Mi,1701976354.4123373
front-end-55b89655c7-z7hwf,80m,73Mi,1701976376.2829642
front-end-55b89655c7-z7hwf,63m,75Mi,1701976398.239859
front-end-55b89655c7-z7hwf,65m,97Mi,1701976420.1254215
front-end-55b89655c7-z7hwf,53m,99Mi,1701976442.0107465
front-end-55b89655c7-z7hwf,67m,107Mi,1701976463.9089866
front-end-55b89655c7-z7hwf,66m,110Mi,1701976485.889038
front-end-55b89655c7-z7hwf,76m,112Mi,1701976507.8833513
front-end-55b89655c7-z7hwf,71m,105Mi,1701976529.779938
front-end-55b89655c7-z7hwf,74m,107Mi,1701976551.752071
front-end-55b89655c7-z7hwf,90m,102Mi,1701976573.6717696
front-end-55b89655c7-z7hwf,74m,102Mi,1701976595.6150172
front-end-55b89655c7-z7hwf,76m,98Mi,1701976617.609791
front-end-55b89655c7-z7hwf,59m,100Mi,1701976639.5209672
front-end-55b89655c7-z7hwf,48m,99Mi,1701976661.3507533
front-end-55b89655c7-z7hwf,45m,99Mi,1701976683.4071743
front-end-55b89655c7-z7hwf,51m,97Mi,1701976705.2335265
front-end-55b89655c7-z7hwf,51m,97Mi,1701976727.1270247
front-end-55b89655c7-z7hwf,51m,100Mi,1701976749.0539865
