POD,CPU,MEMORY,TIME
front-end-55b89655c7-p4r42,156,139Mi,1701264018
front-end-55b89655c7-p4r42,159,119Mi,1701264040
front-end-55b89655c7-p4r42,119,112Mi,1701264061
front-end-55b89655c7-p4r42,135,109Mi,1701264083
front-end-55b89655c7-p4r42,135,106Mi,1701264104
front-end-55b89655c7-p4r42,133,105Mi,1701264126
front-end-55b89655c7-p4r42,146,107Mi,1701264147
front-end-55b89655c7-p4r42,146,107Mi,1701264168
front-end-55b89655c7-p4r42,142,106Mi,1701264190
front-end-55b89655c7-p4r42,173,105Mi,1701264211
front-end-55b89655c7-p4r42,143,105Mi,1701264233
front-end-55b89655c7-p4r42,153,107Mi,1701264255
front-end-55b89655c7-p4r42,153,106Mi,1701264276
front-end-55b89655c7-p4r42,156,105Mi,1701264297
front-end-55b89655c7-p4r42,128,107Mi,1701264319
front-end-55b89655c7-p4r42,132,107Mi,1701264340
front-end-55b89655c7-p4r42,125,105Mi,1701264361
front-end-55b89655c7-p4r42,148,107Mi,1701264383
front-end-55b89655c7-p4r42,137,106Mi,1701264404
front-end-55b89655c7-p4r42,123,104Mi,1701264425
front-end-55b89655c7-p4r42,150,106Mi,1701264446
front-end-55b89655c7-p4r42,123,106Mi,1701264468
front-end-55b89655c7-p4r42,119,107Mi,1701264489
front-end-55b89655c7-p4r42,135,106Mi,1701264510
front-end-55b89655c7-p4r42,153,104Mi,1701264531
front-end-55b89655c7-p4r42,141,105Mi,1701264553
front-end-55b89655c7-p4r42,155,107Mi,1701264574
front-end-55b89655c7-p4r42,131,105Mi,1701264595
front-end-55b89655c7-p4r42,144,106Mi,1701264616
front-end-55b89655c7-p4r42,148,104Mi,1701264638
front-end-55b89655c7-p4r42,116,108Mi,1701264659
front-end-55b89655c7-p4r42,132,108Mi,1701264680
front-end-55b89655c7-p4r42,165,104Mi,1701264702
front-end-55b89655c7-p4r42,137,107Mi,1701264723
front-end-55b89655c7-p4r42,118,104Mi,1701264745
front-end-55b89655c7-p4r42,142,107Mi,1701264766
front-end-55b89655c7-p4r42,130,106Mi,1701264787
front-end-55b89655c7-p4r42,133,106Mi,1701264808
front-end-55b89655c7-p4r42,140,105Mi,1701264830
front-end-55b89655c7-p4r42,154,105Mi,1701264851
front-end-55b89655c7-p4r42,159,105Mi,1701264873
front-end-55b89655c7-p4r42,129,106Mi,1701264894
front-end-55b89655c7-p4r42,185,107Mi,1701264915
front-end-55b89655c7-p4r42,132,109Mi,1701264936
front-end-55b89655c7-p4r42,175,108Mi,1701264958
front-end-55b89655c7-p4r42,150,107Mi,1701264979
front-end-55b89655c7-p4r42,149,104Mi,1701265000
front-end-55b89655c7-p4r42,144,105Mi,1701265022
front-end-55b89655c7-p4r42,165,107Mi,1701265043
front-end-55b89655c7-p4r42,136,107Mi,1701265064
front-end-55b89655c7-p4r42,136,107Mi,1701265086
front-end-55b89655c7-p4r42,171,104Mi,1701265107
front-end-55b89655c7-p4r42,145,105Mi,1701265128
front-end-55b89655c7-p4r42,120,106Mi,1701265150
front-end-55b89655c7-p4r42,159,106Mi,1701265171
front-end-55b89655c7-p4r42,167,107Mi,1701265193
front-end-55b89655c7-p4r42,152,108Mi,1701265214
front-end-55b89655c7-p4r42,152,106Mi,1701265235
front-end-55b89655c7-p4r42,150,105Mi,1701265257
front-end-55b89655c7-p4r42,150,105Mi,1701265278
front-end-55b89655c7-p4r42,146,107Mi,1701265299
front-end-55b89655c7-p4r42,177,106Mi,1701265321
front-end-55b89655c7-p4r42,149,104Mi,1701265342
front-end-55b89655c7-p4r42,142,105Mi,1701265363
front-end-55b89655c7-p4r42,197,105Mi,1701265385
front-end-55b89655c7-p4r42,148,107Mi,1701265406
front-end-55b89655c7-p4r42,155,108Mi,1701265427
front-end-55b89655c7-p4r42,155,108Mi,1701265449
front-end-55b89655c7-p4r42,147,105Mi,1701265470
front-end-55b89655c7-p4r42,161,106Mi,1701265492
front-end-55b89655c7-p4r42,172,110Mi,1701265513
front-end-55b89655c7-p4r42,158,108Mi,1701265534
front-end-55b89655c7-p4r42,158,108Mi,1701265556
front-end-55b89655c7-p4r42,131,106Mi,1701265577
front-end-55b89655c7-p4r42,131,106Mi,1701265598
front-end-55b89655c7-p4r42,164,105Mi,1701265620
front-end-55b89655c7-p4r42,164,105Mi,1701265641
front-end-55b89655c7-p4r42,156,107Mi,1701265662
front-end-55b89655c7-p4r42,129,106Mi,1701265684
front-end-55b89655c7-p4r42,142,107Mi,1701265705
front-end-55b89655c7-p4r42,132,108Mi,1701265726
front-end-55b89655c7-p4r42,184,107Mi,1701265748
front-end-55b89655c7-p4r42,139,108Mi,1701265769
front-end-55b89655c7-p4r42,148,106Mi,1701265790
front-end-55b89655c7-p4r42,186,105Mi,1701265811
front-end-55b89655c7-p4r42,127,107Mi,1701265833
front-end-55b89655c7-p4r42,166,104Mi,1701265854
front-end-55b89655c7-p4r42,171,107Mi,1701265875
front-end-55b89655c7-p4r42,189,108Mi,1701265896
front-end-55b89655c7-p4r42,155,107Mi,1701265918
front-end-55b89655c7-p4r42,183,107Mi,1701265939
front-end-55b89655c7-p4r42,158,108Mi,1701265960
front-end-55b89655c7-p4r42,149,108Mi,1701265982
front-end-55b89655c7-p4r42,168,109Mi,1701266003
front-end-55b89655c7-p4r42,143,105Mi,1701266024
front-end-55b89655c7-p4r42,144,107Mi,1701266045
front-end-55b89655c7-p4r42,163,107Mi,1701266067
front-end-55b89655c7-p4r42,146,105Mi,1701266088
front-end-55b89655c7-p4r42,135,107Mi,1701266109
front-end-55b89655c7-p4r42,143,107Mi,1701266130
front-end-55b89655c7-p4r42,152,108Mi,1701266152
front-end-55b89655c7-p4r42,150,107Mi,1701266173
front-end-55b89655c7-p4r42,152,109Mi,1701266194
front-end-55b89655c7-p4r42,137,105Mi,1701266216
front-end-55b89655c7-p4r42,149,107Mi,1701266237
front-end-55b89655c7-p4r42,144,108Mi,1701266259
front-end-55b89655c7-p4r42,146,107Mi,1701266280
front-end-55b89655c7-p4r42,165,107Mi,1701266301
front-end-55b89655c7-p4r42,175,108Mi,1701266322
front-end-55b89655c7-p4r42,155,106Mi,1701266344
front-end-55b89655c7-p4r42,152,107Mi,1701266365
front-end-55b89655c7-p4r42,169,107Mi,1701266387
front-end-55b89655c7-p4r42,166,107Mi,1701266408
front-end-55b89655c7-p4r42,143,106Mi,1701266429
front-end-55b89655c7-p4r42,146,107Mi,1701266451
front-end-55b89655c7-p4r42,147,107Mi,1701266472
front-end-55b89655c7-p4r42,179,107Mi,1701266493
front-end-55b89655c7-p4r42,128,106Mi,1701266515
front-end-55b89655c7-p4r42,163,106Mi,1701266536
front-end-55b89655c7-p4r42,154,107Mi,1701266557
front-end-55b89655c7-p4r42,151,107Mi,1701266579
front-end-55b89655c7-p4r42,183,106Mi,1701266600
front-end-55b89655c7-p4r42,144,108Mi,1701266621
front-end-55b89655c7-p4r42,173,107Mi,1701266643
front-end-55b89655c7-p4r42,152,105Mi,1701266664
front-end-55b89655c7-p4r42,171,107Mi,1701266685
front-end-55b89655c7-p4r42,162,108Mi,1701266707
front-end-55b89655c7-p4r42,163,108Mi,1701266728
front-end-55b89655c7-p4r42,170,109Mi,1701266749
front-end-55b89655c7-p4r42,131,107Mi,1701266771
front-end-55b89655c7-p4r42,195,108Mi,1701266792
front-end-55b89655c7-p4r42,130,107Mi,1701266814
front-end-55b89655c7-p4r42,179,108Mi,1701266835
front-end-55b89655c7-p4r42,158,106Mi,1701266856
front-end-55b89655c7-p4r42,145,107Mi,1701266878
front-end-55b89655c7-p4r42,198,108Mi,1701266899
front-end-55b89655c7-p4r42,148,106Mi,1701266920
front-end-55b89655c7-p4r42,187,108Mi,1701266942
front-end-55b89655c7-p4r42,167,106Mi,1701266963
front-end-55b89655c7-p4r42,142,107Mi,1701266984
front-end-55b89655c7-p4r42,155,107Mi,1701267006
front-end-55b89655c7-p4r42,135,108Mi,1701267027
front-end-55b89655c7-p4r42,150,108Mi,1701267048
front-end-55b89655c7-p4r42,190,109Mi,1701267070
front-end-55b89655c7-p4r42,133,107Mi,1701267091
front-end-55b89655c7-p4r42,186,109Mi,1701267113
front-end-55b89655c7-p4r42,145,108Mi,1701267134
front-end-55b89655c7-p4r42,148,108Mi,1701267155
front-end-55b89655c7-p4r42,136,109Mi,1701267177
front-end-55b89655c7-p4r42,144,108Mi,1701267198
front-end-55b89655c7-p4r42,182,106Mi,1701267219
front-end-55b89655c7-p4r42,147,106Mi,1701267241
front-end-55b89655c7-p4r42,155,105Mi,1701267262
front-end-55b89655c7-p4r42,133,108Mi,1701267283
front-end-55b89655c7-p4r42,205,109Mi,1701267304
front-end-55b89655c7-p4r42,134,108Mi,1701267326
