POD,CPU,MEMORY,TIME
front-end-55b89655c7-44tl7,185m,78Mi,1701360148.473168
front-end-55b89655c7-44tl7,116m,77Mi,1701360169.9026244
front-end-55b89655c7-44tl7,128m,80Mi,1701360191.2831385
front-end-55b89655c7-44tl7,115m,79Mi,1701360212.6899931
front-end-55b89655c7-44tl7,118m,85Mi,1701360234.1390295
front-end-55b89655c7-44tl7,117m,92Mi,1701360255.6291726
front-end-55b89655c7-44tl7,108m,101Mi,1701360277.0337875
front-end-55b89655c7-44tl7,128m,103Mi,1701360298.5427213
front-end-55b89655c7-44tl7,123m,105Mi,1701360320.0604024
front-end-55b89655c7-44tl7,127m,106Mi,1701360341.5231671
front-end-55b89655c7-44tl7,146m,107Mi,1701360363.0262687
front-end-55b89655c7-44tl7,131m,107Mi,1701360384.6377068
front-end-55b89655c7-44tl7,123m,104Mi,1701360406.141892
front-end-55b89655c7-44tl7,152m,105Mi,1701360427.6206121
front-end-55b89655c7-44tl7,149m,106Mi,1701360449.1377654
front-end-55b89655c7-44tl7,115m,107Mi,1701360470.6414165
front-end-55b89655c7-44tl7,128m,106Mi,1701360492.1116846
front-end-55b89655c7-44tl7,154m,105Mi,1701360513.5931668
front-end-55b89655c7-44tl7,126m,106Mi,1701360535.1479003
front-end-55b89655c7-44tl7,154m,107Mi,1701360556.5524921
front-end-55b89655c7-44tl7,113m,106Mi,1701360578.0445855
front-end-55b89655c7-44tl7,132m,106Mi,1701360599.4335618
front-end-55b89655c7-44tl7,155m,106Mi,1701360620.844337
front-end-55b89655c7-44tl7,132m,108Mi,1701360642.3398468
front-end-55b89655c7-44tl7,137m,106Mi,1701360663.751359
front-end-55b89655c7-44tl7,149m,107Mi,1701360685.2248683
front-end-55b89655c7-44tl7,154m,107Mi,1701360706.662114
front-end-55b89655c7-44tl7,156m,108Mi,1701360728.0788977
front-end-55b89655c7-44tl7,126m,107Mi,1701360749.494608
front-end-55b89655c7-44tl7,148m,106Mi,1701360770.9156642
front-end-55b89655c7-44tl7,124m,105Mi,1701360792.3411727
front-end-55b89655c7-44tl7,156m,104Mi,1701360813.6973908
front-end-55b89655c7-44tl7,147m,106Mi,1701360835.150739
front-end-55b89655c7-44tl7,123m,106Mi,1701360856.5046592
front-end-55b89655c7-44tl7,144m,107Mi,1701360877.872669
front-end-55b89655c7-44tl7,144m,106Mi,1701360899.392321
front-end-55b89655c7-44tl7,135m,106Mi,1701360920.766271
front-end-55b89655c7-44tl7,125m,106Mi,1701360942.1284964
front-end-55b89655c7-44tl7,136m,105Mi,1701360963.5791152
front-end-55b89655c7-44tl7,150m,106Mi,1701360984.9547956
front-end-55b89655c7-44tl7,135m,106Mi,1701361006.4619327
front-end-55b89655c7-44tl7,124m,107Mi,1701361027.8339453
front-end-55b89655c7-44tl7,132m,106Mi,1701361049.223023
front-end-55b89655c7-44tl7,133m,105Mi,1701361070.613871
front-end-55b89655c7-44tl7,134m,106Mi,1701361092.0153482
front-end-55b89655c7-44tl7,143m,107Mi,1701361113.5203655
front-end-55b89655c7-44tl7,173m,108Mi,1701361135.0386806
front-end-55b89655c7-44tl7,147m,108Mi,1701361156.4593048
front-end-55b89655c7-44tl7,137m,106Mi,1701361177.8709273
front-end-55b89655c7-44tl7,146m,107Mi,1701361199.291884
front-end-55b89655c7-44tl7,136m,106Mi,1701361220.7752707
