POD,CPU,MEMORY,TIME
front-end-55b89655c7-p4r42,163m,104Mi,1701159400.6743271
front-end-55b89655c7-p4r42,120m,119Mi,1701159422.1473932
front-end-55b89655c7-p4r42,131m,127Mi,1701159443.5810204
front-end-55b89655c7-p4r42,142m,135Mi,1701159464.974467
front-end-55b89655c7-p4r42,122m,140Mi,1701159486.3649998
front-end-55b89655c7-p4r42,122m,140Mi,1701159507.866188
front-end-55b89655c7-p4r42,135m,107Mi,1701159529.2693067
front-end-55b89655c7-p4r42,125m,105Mi,1701159550.6908176
front-end-55b89655c7-p4r42,130m,106Mi,1701159572.0896256
front-end-55b89655c7-p4r42,130m,106Mi,1701159593.553285
front-end-55b89655c7-p4r42,146m,106Mi,1701159614.977059
front-end-55b89655c7-p4r42,132m,110Mi,1701159636.4099126
front-end-55b89655c7-p4r42,118m,107Mi,1701159657.7577288
front-end-55b89655c7-p4r42,135m,106Mi,1701159679.2034652
front-end-55b89655c7-p4r42,126m,107Mi,1701159700.5997229
front-end-55b89655c7-p4r42,124m,105Mi,1701159722.0101779
front-end-55b89655c7-p4r42,135m,106Mi,1701159743.4417524
front-end-55b89655c7-p4r42,132m,106Mi,1701159764.7678938
front-end-55b89655c7-p4r42,116m,107Mi,1701159786.1365507
front-end-55b89655c7-p4r42,139m,108Mi,1701159807.469222
front-end-55b89655c7-p4r42,158m,108Mi,1701159828.8873646
front-end-55b89655c7-p4r42,122m,109Mi,1701159850.2300181
front-end-55b89655c7-p4r42,145m,108Mi,1701159871.5573084
front-end-55b89655c7-p4r42,123m,109Mi,1701159892.9507675
front-end-55b89655c7-p4r42,133m,106Mi,1701159914.3336067
front-end-55b89655c7-p4r42,130m,108Mi,1701159935.7894728
front-end-55b89655c7-p4r42,122m,107Mi,1701159957.1267414
front-end-55b89655c7-p4r42,133m,108Mi,1701159978.4782877
front-end-55b89655c7-p4r42,152m,108Mi,1701159999.8351972
front-end-55b89655c7-p4r42,150m,109Mi,1701160021.259461
front-end-55b89655c7-p4r42,134m,109Mi,1701160042.7735903
front-end-55b89655c7-p4r42,146m,108Mi,1701160064.24375
front-end-55b89655c7-p4r42,169m,107Mi,1701160085.6770732
front-end-55b89655c7-p4r42,130m,107Mi,1701160107.1379323
front-end-55b89655c7-p4r42,159m,106Mi,1701160128.5924687
front-end-55b89655c7-p4r42,131m,108Mi,1701160150.1104937
front-end-55b89655c7-p4r42,161m,108Mi,1701160171.5431283
front-end-55b89655c7-p4r42,140m,109Mi,1701160192.9732556
front-end-55b89655c7-p4r42,142m,109Mi,1701160214.4225886
front-end-55b89655c7-p4r42,165m,106Mi,1701160235.8775551
front-end-55b89655c7-p4r42,130m,105Mi,1701160257.4090106
front-end-55b89655c7-p4r42,168m,108Mi,1701160278.8474445
front-end-55b89655c7-p4r42,163m,108Mi,1701160300.2905674
front-end-55b89655c7-p4r42,148m,107Mi,1701160321.703531
front-end-55b89655c7-p4r42,138m,109Mi,1701160343.1576188
front-end-55b89655c7-p4r42,147m,106Mi,1701160364.6781006
front-end-55b89655c7-p4r42,161m,107Mi,1701160386.178599
front-end-55b89655c7-p4r42,140m,107Mi,1701160407.6441197
front-end-55b89655c7-p4r42,158m,109Mi,1701160429.1171205
front-end-55b89655c7-p4r42,153m,108Mi,1701160450.6078365
front-end-55b89655c7-p4r42,124m,108Mi,1701160472.0731263
front-end-55b89655c7-p4r42,156m,105Mi,1701160493.5083554
front-end-55b89655c7-p4r42,150m,107Mi,1701160514.9139607
front-end-55b89655c7-p4r42,174m,107Mi,1701160536.339881
front-end-55b89655c7-p4r42,179m,110Mi,1701160557.784915
front-end-55b89655c7-p4r42,188m,107Mi,1701160579.2898185
front-end-55b89655c7-p4r42,149m,109Mi,1701160600.6858602
front-end-55b89655c7-p4r42,158m,109Mi,1701160622.0518813
front-end-55b89655c7-p4r42,163m,110Mi,1701160643.5286894
front-end-55b89655c7-p4r42,152m,107Mi,1701160664.9355967
front-end-55b89655c7-p4r42,152m,107Mi,1701160686.4850295
front-end-55b89655c7-p4r42,144m,108Mi,1701160708.0222712
front-end-55b89655c7-p4r42,134m,106Mi,1701160729.441743
front-end-55b89655c7-p4r42,147m,108Mi,1701160750.8592389
front-end-55b89655c7-p4r42,149m,109Mi,1701160772.2015388
front-end-55b89655c7-p4r42,158m,106Mi,1701160793.642558
front-end-55b89655c7-p4r42,166m,109Mi,1701160814.9808173
front-end-55b89655c7-p4r42,166m,109Mi,1701160836.3271208
front-end-55b89655c7-p4r42,150m,108Mi,1701160857.6394851
front-end-55b89655c7-p4r42,138m,108Mi,1701160878.9780908
front-end-55b89655c7-p4r42,163m,107Mi,1701160900.4679325
front-end-55b89655c7-p4r42,155m,109Mi,1701160921.7991405
front-end-55b89655c7-p4r42,151m,109Mi,1701160943.1113575
front-end-55b89655c7-p4r42,151m,109Mi,1701160964.4928029
front-end-55b89655c7-p4r42,160m,107Mi,1701160985.8970098
front-end-55b89655c7-p4r42,151m,108Mi,1701161007.3658764
front-end-55b89655c7-p4r42,159m,107Mi,1701161028.7059135
front-end-55b89655c7-p4r42,146m,108Mi,1701161050.0820868
front-end-55b89655c7-p4r42,195m,110Mi,1701161071.406829
front-end-55b89655c7-p4r42,147m,108Mi,1701161092.8205206
front-end-55b89655c7-p4r42,127m,108Mi,1701161114.2807071
front-end-55b89655c7-p4r42,162m,108Mi,1701161135.6535673
front-end-55b89655c7-p4r42,140m,110Mi,1701161157.0330598
front-end-55b89655c7-p4r42,192m,108Mi,1701161178.4187675
front-end-55b89655c7-p4r42,142m,109Mi,1701161199.8456726
front-end-55b89655c7-p4r42,200m,108Mi,1701161221.3832314
front-end-55b89655c7-p4r42,151m,108Mi,1701161242.7931962
