POD,CPU,MEMORY,TIME
front-end-55b89655c7-44tl7,146m,109Mi,1701276311.8818154
front-end-55b89655c7-44tl7,188m,110Mi,1701276336.7078485
front-end-55b89655c7-44tl7,74m,112Mi,1701276358.0613008
front-end-55b89655c7-44tl7,125m,110Mi,1701276379.4232202
front-end-55b89655c7-44tl7,116m,111Mi,1701276400.7700598
front-end-55b89655c7-44tl7,106m,108Mi,1701276422.1633508
front-end-55b89655c7-44tl7,109m,105Mi,1701276443.5927465
front-end-55b89655c7-44tl7,126m,106Mi,1701276464.9186747
front-end-55b89655c7-44tl7,120m,109Mi,1701276486.3216722
front-end-55b89655c7-44tl7,119m,107Mi,1701276507.6198936
front-end-55b89655c7-44tl7,127m,106Mi,1701276529.0992923
front-end-55b89655c7-44tl7,145m,110Mi,1701276550.412419
front-end-55b89655c7-44tl7,130m,106Mi,1701276571.855059
front-end-55b89655c7-44tl7,128m,108Mi,1701276593.1952446
front-end-55b89655c7-44tl7,121m,106Mi,1701276614.6163883
front-end-55b89655c7-44tl7,125m,108Mi,1701276636.0504897
front-end-55b89655c7-44tl7,123m,109Mi,1701276657.5603173
front-end-55b89655c7-44tl7,129m,106Mi,1701276678.911206
front-end-55b89655c7-44tl7,125m,112Mi,1701276700.3707225
front-end-55b89655c7-44tl7,144m,112Mi,1701276721.739462
front-end-55b89655c7-44tl7,115m,108Mi,1701276743.2701986
front-end-55b89655c7-44tl7,139m,110Mi,1701276764.624979
front-end-55b89655c7-44tl7,132m,109Mi,1701276786.0585127
front-end-55b89655c7-44tl7,120m,110Mi,1701276807.4255521
front-end-55b89655c7-44tl7,120m,110Mi,1701276828.934408
front-end-55b89655c7-44tl7,136m,108Mi,1701276850.3877947
front-end-55b89655c7-44tl7,124m,109Mi,1701276871.8856025
front-end-55b89655c7-44tl7,137m,106Mi,1701276893.221617
front-end-55b89655c7-44tl7,125m,109Mi,1701276914.684423
front-end-55b89655c7-44tl7,148m,108Mi,1701276936.057679
front-end-55b89655c7-44tl7,128m,109Mi,1701276957.606889
front-end-55b89655c7-44tl7,136m,109Mi,1701276979.0178308
front-end-55b89655c7-44tl7,118m,111Mi,1701277000.4883864
front-end-55b89655c7-44tl7,136m,110Mi,1701277021.8663735
front-end-55b89655c7-44tl7,137m,106Mi,1701277043.3479738
front-end-55b89655c7-44tl7,162m,106Mi,1701277064.8291912
front-end-55b89655c7-44tl7,134m,106Mi,1701277086.3257735
front-end-55b89655c7-44tl7,129m,109Mi,1701277107.6831477
front-end-55b89655c7-44tl7,133m,110Mi,1701277129.163629
front-end-55b89655c7-44tl7,151m,109Mi,1701277150.5883179
front-end-55b89655c7-44tl7,144m,107Mi,1701277172.1754954
front-end-55b89655c7-44tl7,154m,108Mi,1701277193.5319605
front-end-55b89655c7-44tl7,138m,108Mi,1701277215.0353532
front-end-55b89655c7-44tl7,138m,108Mi,1701277236.4357274
front-end-55b89655c7-44tl7,150m,110Mi,1701277257.9720702
front-end-55b89655c7-44tl7,156m,109Mi,1701277279.4244297
front-end-55b89655c7-44tl7,143m,104Mi,1701277300.9228902
front-end-55b89655c7-44tl7,131m,111Mi,1701277322.3260717
front-end-55b89655c7-44tl7,158m,108Mi,1701277343.776059
